Attacker,Fast Move,Charged Move,Level,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Reshiram,Reshiram,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Dragonite,Dragon Tail,Dragon Pulse,30,1.4705692423127796,1.4150576140218274,1.4022744773242461,1.416306186292266,1.409913367693826,1.4498848557955915,1.4358328303655423,1.4887144143263211,1.5959439041087569,1.4492451278644432,1.509389581618835,1.432156173099095,1.5480787583287063,1.4120497293170462,1.4895601128636446,1.5434427735916367,1.5218669343275022,1.5167728253814923,1.5232353708687858,1.5784452101631057,1.4243135692702793,1.4703984031665445,1.4161596009975064,1.4560320510199911,1.4545213251911333,1.5098658460354857,1.4703923254109128,1.4699922971298436,1.4275025946710507,1.390479164561845,1.4197617107152558,1.461622424030737,1.4158139141907327,1.4535191678392352,1.481084444329222,1.5112482257552287,1.5939802257900988,1.4702258271014723,1.467792218581149,1.5038826264674219,1.4729320095013765,1.513133963445541
Dragonite,Dragon Breath,Dragon Pulse,30,1.5291941008231622,1.4433445301994339,1.4651685318511645,1.4726691846241606,1.4837559349018938,1.523670561668149,1.3812627919601583,1.4219113000846335,1.6370071659179384,1.4364829885402026,1.5335934340334856,1.4321018457223227,1.7120892039144922,1.478425614242088,1.5596566523605149,1.6228754283737472,1.560065204594509,1.5720495675667518,1.5916357617281622,1.6592285289249271,1.459877864277632,1.502818190679205,1.4287543436490742,1.477213523568129,1.4602875414723275,1.5151050632302734,1.4697057652447987,1.4777658699591785,1.4757827640364816,1.4365788917769593,1.4673540769200915,1.5057122482244731,1.4578476516675387,1.4990202418361611,1.4942381603593209,1.5283425475238348,1.6098571328135696,1.487133257601267,1.4871205921215858,1.5104174735591847,1.5399286402894143,1.5978413190613912
Dragonite,Steel Wing,Outrage,30,,,1.5536579402974648,1.5944342162815721,1.5793621782765328,1.619418958381564,1.6077702622962982,1.6948474743149242,1.667973734419496,1.400118689313506,1.4952966576590534,1.4011432894622997,1.6695477338978346,1.3938545426152138,1.6570739775786207,1.7384201251878357,1.7188957481170664,1.746290734004498,1.6563713697411604,1.7745606165368564,1.592765090033776,1.6834557374548136,1.589452598013164,1.6543640897755612,1.6257729480213492,1.690572678751743,1.7889543818911848,1.7693120629923604,,,1.576648426281678,1.670967225521015,1.703060160075911,1.8009449873102632,1.7621507411320168,,,1.6879789528993419,1.5888850345153538,1.6315956096065958,1.6232942743274,1.7005674985340449
Dragonite,Steel Wing,Dragon Claw,30,,,,,1.6335226003501033,,,,1.5315559642392746,1.4361244901017975,1.426143943402946,1.4286289178590184,1.5393683196835093,1.4421458564686287,,,,,1.792078811878925,1.949220662213308,1.6929210440442943,1.8247932973678522,,,,,,,,,,,,,,,,,1.6582345696891316,1.7357108456458115,,
Dragonite,Steel Wing,Draco Meteor,30,,,,,,,,,,1.4912967921478717,1.5896049594858617,1.4559656490008792,,1.4604386451971128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giratina (Origin),Dragon Tail or Shadow Claw,Dragon Pulse,30,,,,,,,,,,,,,,,1.6325877558080453,1.7183684500708098,1.6566193228985857,,1.6703390686042014,1.7600786290207373,1.6341797793759296,1.6743421749651435,1.5599100609132905,1.6081386697191449,1.5772428715680145,1.6586796172524882,,,,,,,,,,,1.6062142230741052,1.6342150445326753,1.5863692138088359,1.6441264399172395,,
Mega Latios,Dragon Breath,Dragon Claw,30,1.0650806376159665,1.1226267811180843,1.0765232894437042,1.1223155230250081,1.1170571821959034,1.190481412435574,1.1602902152252565,1.2255043446301586,1.1171378456876893,1.1039078355201064,1.0886844122683288,1.099425135868745,1.1308995002776236,1.097354768184342,1.1959546383282342,1.2866628468881416,1.193949707937754,1.2340761927761763,1.1829153309447482,1.2722015554374595,1.1105790216428568,1.1764441638025656,1.1272638076938801,1.192721475001022,1.1150185122854257,1.1809857190941,1.1834845998414771,1.1897827195224964,1.1255949374064311,1.1158261157085518,1.1194163076803663,1.1812929328210502,1.1142628741522573,1.1685184041803014,1.1368355898918276,1.1897809982435787,1.1367497252554106,1.188395232580083,1.1007394784022237,1.1550636925871416,1.1832692288579465,1.2501962888975025
Mega Latios,Zen Headbutt,Dragon Claw,30,1.2841405044643759,1.3689058564318382,1.2948671253540358,1.3649924078758517,1.1372429563020636,1.201213989513145,1.1782520661017692,1.2316183536599759,1.3810190267476294,1.3476908244653918,1.344852078625799,1.3580777766822874,1.4237229317046087,1.3478275957801222,1.5574728921849492,1.6833569366817656,1.4071777881756298,1.466843010882526,1.4075089952894968,1.5221953649258948,1.33994160200367,1.4351328787499946,1.4452655247128081,1.5440235476881568,1.4840294273212482,1.5916103284127516,1.3843825237877283,1.3765587148486778,1.3858702940014878,1.3605756955096118,1.1457193309271547,1.2013428028097954,1.3385608766154635,1.412795024193365,1.3719627197957107,1.4374137182337272,1.478245223884463,1.5608730402477697,1.4759099782995029,1.566228053926802,1.386346243676516,1.4639375055905066
Shadow Salamence,Dragon Tail,Outrage,32.5,1.1650709145044973,1.042715646687813,1.2027338299397452,1.0430148300046067,1.1884790811208181,1.0631424823222169,1.1224217983430724,1.063459923863602,1.2587629575918629,1.0695426208058723,1.2037719296480591,1.026978572880176,1.2450331413103832,1.0520175423375904,1.0772445703289693,1.1257370190592533,1.100784115436282,1.104946191115874,1.0880481221797458,1.1333245713785032,1.0681027431801904,1.0893027414850383,1.1318163607375005,1.0412362536282245,1.0713699091215079,1.0748819541279993,1.0575054608511858,1.0616322642344946,1.1479026791700726,1.0445916033689393,1.1935954903558814,1.0916385299025886,1.0639913690292433,1.0460567577316404,1.0716956919068512,1.0827397579897726,1.1695174115914464,1.098338211514481,1.06528784873193,1.0896815426774575,1.0797082004035103,1.1105677966943956
Shadow Salamence,Dragon Tail,Draco Meteor,32.5,1.1766065607153275,1.049787834369548,1.2508244897144596,1.06289072829509,1.220429059391665,1.1002445037426942,1.148553644465275,1.0992529663860162,1.3685060134568567,1.0958608620976007,1.2343079396442964,1.0408722964584585,1.3816694718212106,1.0739519711271517,1.1440827666727926,1.168832769375466,1.058819977963262,1.0975993539915174,1.110177772444414,1.1446255883366951,1.0815156356609188,1.1178936037666285,1.2003842851886677,1.0816745022689178,1.162685002644612,1.0973255758042024,1.1588242517610547,1.0994116793373299,1.2001322593385195,1.0718939720969534,1.219141731672294,1.1078365739123686,1.094456486064037,1.0780491926337783,1.1365439332171028,1.1058843354440635,1.2478362707261028,1.132471295203348,1.1091468774522517,1.1369724606881966,1.1144637586093802,1.1405130345766619
Shadow Salamence,Bite,Outrage,32.5,1.5759549287919676,1.2609261171946806,1.5884819244246866,1.2410337263276239,1.5334913266155725,1.270383773399455,1.3116028768633692,1.234579681899566,1.6581241417304335,1.253466497612036,1.6466969960984894,1.233356204488246,1.6360203532759579,1.273342066907274,1.147338947687052,1.2007610728532663,1.3164649147963112,1.3634137322083528,1.1630047409794722,1.2255765271039645,1.1398267554361414,1.1679789970631487,1.272394423776624,1.1379681942684274,1.1562994662691735,1.1791373755830168,1.2923071770655414,1.2894065068786258,1.4533427629343203,1.3010994057514442,1.5229581441378506,1.2917370085768618,1.2541001985513227,1.2532098047307858,1.298322650057359,1.33718428164961,1.2859341871075407,1.1609392749703054,1.1404234347407785,1.1788073819860052,1.3090630807915162,1.3491457705954262
Shadow Salamence,Fire Fang,Outrage,32.5,1.6405677563278194,1.3214148778281871,1.8081313063276572,1.3433802165709543,1.7829318516893908,1.3673364119684988,1.4644868211199267,1.3785164192289925,1.629444266658025,1.2679502396065836,1.5761639640473493,1.226237306005992,1.5147769468350918,1.2451589394780678,1.3351769170063026,1.4198808661527982,1.3648363092992015,1.4489872156732526,1.3600115810185582,1.4719817446575885,1.3158471311666462,1.4003568295566753,1.5526838641102163,1.327144433996975,1.3114718469009952,1.3630773669279221,1.4238829907974888,1.443220171844707,1.6369866914040614,1.4632952781579214,1.6452730236348818,1.4179716303799432,1.3312297508522108,1.353954290950804,1.4209740036683929,1.5041674498188486,1.6187386910686732,1.3740864973672624,1.3069480883242792,1.3972032964997423,1.3332538239064968,1.4030134072771003
Shadow Salamence,Bite,Draco Meteor,32.5,1.8702643402135049,1.474223664585676,1.9293608146606993,1.4243772878238294,1.8532571391437493,1.5017342707330643,1.4825321253114747,1.4120385200271097,2.2831651563822852,1.4931581484467094,1.9944827530699996,1.4224899242837337,2.447368649361466,1.5135341476957247,1.260961503118885,1.3016140366050095,1.4353765112523207,1.5328853033070202,1.2259346243883298,1.289203557353661,1.2212809418266113,1.276140307754898,1.4406491966804302,1.2614545603205103,1.3415588786844255,1.2641111698802712,1.6789056714707271,1.533116759882559,1.9657723853522782,1.495880672685691,1.7407294213528932,1.5038130166492023,1.5130260716409567,1.424860835345385,1.615168739589477,1.5918200024628786,1.4121270596593538,1.2714217523709441,1.2482826520634558,1.3326249518671072,1.5266605046860868,1.5882703718059572
Shadow Salamence,Splash,Outrage,32.5,,1.5490769465027068,4.4832948321999195,1.5760235231114903,1.9186253365987984,1.5770714787602604,1.6040039046035883,1.5427887906181614,2.2300324471467983,1.6809606947983295,3.3574399330364777,1.589580813985074,2.0161216858689617,1.6056053928373129,1.4341423335963934,1.5650836207176138,1.5469676844822122,1.6600040752871568,1.465935995824738,1.6011596256740515,1.4289688812418686,1.6026520657549572,1.9211283267241732,1.5172429581783247,1.4761436745684473,1.5517757368851275,1.480242324108495,1.4910765784371731,1.727000192878202,1.547101775397926,1.7575678193037605,1.6322088330034539,1.478485940551589,1.5366929993598264,1.4886577959829153,1.5758793448742958,1.9886975441348969,1.5848757266393094,1.5179593225133958,1.6279369484363406,1.4903644513352614,1.5410815269785423
Shadow Salamence,Fire Fang,Draco Meteor,32.5,2.128660613876898,1.5770758384349093,2.370793356184546,1.6045625921989886,2.3283234435224784,1.7066787700080823,1.807814602138428,1.742650207537436,2.1193597258398387,1.4387453769904766,1.8476459142794477,1.348552376621521,2.2229447182121045,1.448531197945586,1.6848034075307292,1.7570664100928637,1.5896261301375032,1.706466122288802,1.6552304108404428,1.7225431764371986,1.616450605381261,1.6660973780231982,2.1076718040963165,1.632888271125465,1.7418839255661873,1.6381458864259266,2.1678258183834394,1.8887307381731173,2.8857683440947124,1.875279443776004,2.151138083595296,1.756250727674933,1.7747108657292618,1.6188399533355646,1.9875527412486793,1.914593203751353,,1.7164423073365132,1.6720036642743357,1.7263548216528977,1.649671526680382,1.6823300237534413
Shadow Salamence,Splash,Draco Meteor,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Latias,Dragon Breath,Outrage,35,1.310455280108165,1.2618929246935844,1.1907028494164957,1.2257530173080473,1.2514286410546964,1.2633309370341939,1.217131195354938,1.251125355308811,,1.2256210934809997,1.3122154100610277,1.229241408729001,,1.2255799729317047,1.29809623679744,1.353014562004735,1.3402525168671608,1.3299246826558797,1.305196029691598,1.3594972923654802,1.2918141096000713,1.3183326482092834,1.245273700993418,1.2814570132046932,1.2854950233206712,1.326533634658845,1.2979466455302886,1.280743568847658,1.3287269120199858,1.2582308476537745,1.20653597624869,1.2646092870726122,1.2219745295373527,1.2481924030559355,1.294479263210427,1.3438470163522176,1.3676952166689484,1.2882450018686333,1.2793919370247755,1.3187267544790253,1.2901696532395122,1.3280956498404841
Salamence,Dragon Tail,Outrage,30,1.4275490604355587,1.2701318857516057,1.3424937757886912,1.2760273482780928,1.3364525837384702,1.2917270818356463,1.2611405960758397,1.2737858807106515,1.4974662059522894,1.3037838801278443,1.4001070450534923,1.2551394704489252,1.4792563159355914,1.2648745488617437,1.3006497227057003,1.3568328991037935,1.3557838890314402,1.355406547628032,1.3267942483480857,1.3728707021182978,1.271097229697373,1.3059029440557366,1.312729651281632,1.271884223866563,1.3048208876280232,1.308546424965139,1.3136221723582318,1.288394342297688,1.2840526465644717,1.2615024293468775,1.2878730546823456,1.3001925912989483,1.2816049186134553,1.2836489248657097,1.3251939516886921,1.3307775566948168,1.4145609081927542,1.3086001531909226,1.305472948472265,1.3205038826264675,1.293618374628542,1.3406581392806385
Salamence,Dragon Tail,Draco Meteor,30,1.4804666359685412,1.3009376381644966,1.326655922937861,1.3003055143934366,1.3207751012334847,1.348856477927648,1.292530844008052,1.3190774278170974,1.6237852574099807,1.332789847000158,1.4158639964425628,1.2805505979029632,1.5622462347307053,1.2635580059689062,1.3436827709970702,1.3964259845839504,1.2951753128160235,1.3714850648272532,1.359731579418549,1.4197528747783321,1.291095788817928,1.3064538685494158,1.2908777237234783,1.2970786149380646,1.4347377025532528,1.3805760446218203,1.395802866063089,1.3230181854717171,1.3908924749947187,1.2997639538194476,1.2849259712034773,1.3359675165909883,1.360417770180906,1.3221698312476238,1.4151700358413646,1.3895820235788219,1.5052071962730942,1.3770272820452099,1.3707697782687427,1.3504400160312002,1.3538169494220658,1.3749167635687807
Salamence,Bite,Outrage,30,1.9366108168697818,1.560544714388187,1.6379546335240927,1.540782096889807,1.609791115822479,1.518540856900326,1.5383118153034836,1.5662728906542402,1.965543641614985,1.5124259204498043,1.7638388931702438,1.5118162044480035,1.9133597654081067,1.5517420877290395,1.431353174560275,1.5108290721181392,1.6435934976529365,1.6895914147283897,1.4522825844719112,1.5320373259275766,1.365150635470214,1.3942966601262041,1.428103511712522,1.3750983197743347,1.392152714333798,1.403208155022359,1.632405639840584,1.5854832527694982,1.6025808940363897,1.5731899299209198,1.527484282221446,1.540781328831451,1.5307462085146346,1.5428965095912313,1.6230823573636828,1.6593223195131277,1.540022978638377,1.3973287795419813,1.39430802581607,1.4084790230397985,1.5731735193853922,1.6565192760666687
Salamence,Fire Fang,Outrage,30,2.1041015019455394,1.6435507335445512,1.7075344140260544,1.6243569978096764,1.6959441621685287,1.627505452595923,1.561948491602405,1.605874439008271,1.906646601556329,1.5167279017106656,1.6442381792682705,1.4752136373788447,1.8040758606329819,1.5275476297890063,1.6459411249608111,1.7599701624847297,1.6791616983381885,1.7885076902178014,1.6598837707644043,1.7850673432419613,1.6389134921408501,1.6975149067454347,1.635689464862434,1.6263456113813828,1.6504284271769967,1.6897917968937826,1.7546170706022006,1.6912916634106225,1.7152585027140719,1.7002544155331245,1.6018211277991228,1.668980672953778,1.636599085559047,1.6464096656473715,1.743218982312643,1.790425235431749,1.9614080983974158,1.6687144543405945,1.6225337154776298,1.662285029800295,1.656509337388314,1.734826122822187
Salamence,Splash,Outrage,30,3.2563911112415678,1.8657183269643896,1.9151627941012603,1.8484202893489068,1.8017813844110586,1.8570932485287128,1.7481555974414393,1.8302618579574002,,1.9739754438696768,2.092541656019171,1.931020328499538,2.3201389852859524,1.898066612298723,1.8572145165998204,1.921501389174171,1.889948379696014,2.022285783285285,1.759048146941792,1.9506835277153964,1.7737225968037904,1.9183762983807058,1.7938023792976576,1.819686848452639,1.8082146463432225,1.8743395682069528,1.814474325626742,1.8173619716370646,1.8494980574409654,1.7903413944175537,1.7592924088950983,1.9396805992160515,1.8092477472061457,1.8284887027222003,1.825521255290328,1.897077600119255,2.398042930460942,1.8785591912703377,1.8339131733132157,1.899949818301838,1.793096594014928,1.873361360406293
Salamence,Bite,Draco Meteor,30,2.338034060242931,1.8178861221846547,1.799853978422734,1.7375952341750363,1.7858825488499794,1.8187077855352884,1.77372771627896,1.8578823763457901,,1.7991801120459527,2.0610820806178025,1.749621217456392,2.7296966095224877,1.780308682676291,1.5644544383303962,1.648248127047275,1.7828739830649178,1.9186451934252036,1.5721137454118785,1.66950858766812,1.4438247721079642,1.4787300766632623,1.4516462941008137,1.4661395691100119,1.5747463576477376,1.5343232196951482,2.0886053339584936,1.8904480688867307,2.1062538460831948,1.830561091874317,1.708653510303877,1.802268890441262,1.8129978000123486,1.7456560805123988,1.9748041039334763,1.9670978864612971,1.7282924022482804,1.5422893902335237,1.5263947873901365,1.5188360989398977,1.841945198127553,1.9280340300346859
Salamence,Fire Fang,Draco Meteor,30,2.8187501949208666,1.9591372481393083,2.0082457287025535,1.9310704978204865,2.0648462916255435,2.062551530585306,1.848504415439032,1.904311923202719,2.395138194059053,1.7221171256931984,1.9540148937497357,1.6574135741981177,2.505558977651305,1.6859340297057193,2.026391066042529,2.0899363250127023,1.9483910162558677,2.0937580185048223,2.0199315424659567,2.1425303382685996,1.9300940385731904,1.992244678281285,,1.9015297821021218,,,,2.176451544481284,2.628520256803549,2.078262626633724,1.9415216167966778,2.008317324484806,2.0939203000042244,1.9485391367079474,2.2950690578193154,2.2521177515214754,,,,,2.050786646391763,2.110667183477941
Mega Salamence,Dragon Tail,Draco Meteor,45,0.9685558244189524,0.989801740253498,0.9975086523605435,1.0122920897217773,0.9718252082546412,1.0213250315783489,0.9913646893007793,1.0112333219814347,1.1009061706290535,1.009596415825782,1.0799880077346087,0.9860499369198791,1.134022765130483,1.0062291782343145,1.0332018032237489,1.0905309131793168,1.0395227385929695,1.067570525108297,1.0389297462652167,1.0836328588544315,1.004875681769061,1.0274381587255845,0.9839565021871551,1.008130493438535,1.015956147521277,1.0430100495263739,1.0014847561315963,1.0095653274091936,0.9767150086795191,0.9889159326579534,0.9863609461714595,1.0261429347615165,0.9884378787829551,1.0133071631207977,1.0224413608052316,1.0528060612738266,0.9868409367587909,1.0160360183681096,1.0109209744904089,1.0449423696314284,1.027490384328692,1.059065565461105
Mega Salamence,Dragon Tail,Outrage,45,0.9617533154892834,0.9823369590143334,0.9844598448978098,0.9996856710922181,0.9630909009678611,1.0000426460016327,0.9748830810626726,1.0123578343274675,1.0572098694417553,0.9856580370488895,1.0420654866223864,0.9804864111133691,1.0641483897834538,0.9889080719044976,1.0137166084690976,1.0653030778045642,1.0084675410924788,1.0546314883854317,1.0193791583570952,1.07612995883786,0.965274805375328,1.0192971898612941,0.9750917787498468,0.9944074240627939,0.9853382699427802,1.0261422320526998,0.9808209696685533,0.9991069136050549,0.9542731706421007,0.9743563838092526,0.9765567392401133,1.0101874490627547,0.9686639868195718,0.9996457922392754,1.0121005113713697,1.0405435184164986,0.9936244454229587,1.0044477171222308,0.9862320280478646,1.0127486211259336,1.0150670363855014,1.047874613633879
Mega Salamence,Bite,Outrage,45,1.1877110878327184,1.2487979115490384,1.1751444000392495,1.2332470176173869,1.1712744656049843,1.237857058725575,1.1464074612321418,1.2157858267610335,1.2870944613003976,1.1868262963668108,1.308881318827253,1.2144522894965057,1.4549382287617991,1.2281805247084954,1.1167792780618586,1.1821212743646015,1.2372685010490092,1.3366187191523404,1.1203073541372617,1.2062678453400686,1.0632016341268058,1.1480948607220502,1.083831405093823,1.1190057642778302,1.0863778429581188,1.154931961340578,1.2020012577633394,1.2675184478158457,1.1705612755678425,1.2414945305252716,1.1801286529281638,1.2607865680909691,1.1741272353271872,1.2471850231859851,1.275213719529979,1.332313615181702,1.091462196254593,1.1259745569859132,1.0842749418195412,1.1346227896758172,1.2758480177306022,1.3618573402108987
Mega Salamence,Fire Fang,Outrage,45,1.2018444559001857,1.2664682907320401,1.2379902242046563,1.2953544183168935,1.2332553520732048,1.2943934723186834,1.2529419400956932,1.3400376972954382,1.2278814565163676,1.1536662035217915,1.2405736970987167,1.1602436281029482,1.383189894503054,1.1957658071904498,1.2978281315877664,1.4066183068291152,1.284224865289119,1.3888729566963005,1.3162970455069267,1.4364234462292165,1.2190539355079313,1.3552573029279518,1.242307346388128,1.2860569886758515,1.2527787661681973,1.3273837572726834,1.332944468632201,1.3886674778868087,1.2823589922573178,1.3523517363630517,1.2401036209104668,1.3215352970854193,1.237055981074257,1.303975250951324,1.3812536052005626,1.450933625422092,1.2640869043962835,1.3024262629925514,1.2284008204202466,1.302533895098921,1.2900205730641938,1.384765993818142
Mega Salamence,Bite,Draco Meteor,45,1.3535616858040738,1.4023772090267166,1.312449586798851,1.3738534894666554,1.3038872845869227,1.4108454874437986,1.2729513475602972,1.306217187673861,1.5850937564560101,1.3758035833640523,1.5926835108362993,1.348570485747112,1.9061480601054972,1.4164439894503056,1.183874768921417,1.2638566069556003,1.4307352119904004,1.5025583747151072,1.1957534995438068,1.2645557974616997,1.1753041738887218,1.2177571440074249,1.1620849515555374,1.188924410285761,1.1852767226042218,1.2351127566475932,1.3876404285326218,1.4358745362462835,1.3730429751003426,1.3958448524481755,1.3188550277486708,1.4264223619358094,1.327996386430918,1.386892363085702,1.435200368135536,1.5127745623529563,1.1522630813577008,1.1968836378033754,1.1738307495933262,1.2351804015209433,1.4634902650645516,1.550970511941322
Mega Salamence,Fire Fang,Draco Meteor,45,1.416798601339588,1.46853289255228,1.436933812975963,1.4835127003846786,1.4569722151145552,1.5357048571765097,1.5081843256129184,1.5432987830989335,1.4785994661006308,1.3053434496056517,1.4844231338043046,1.2636829534776561,1.730700825930039,1.328615179067185,1.5493064939838488,1.6653290234700164,1.5534541832067983,1.6208058503011185,1.576264245319497,1.6656761848162942,1.5097471256574013,1.5772968254035522,1.449420710518785,1.4910347083111892,1.4781843535125256,1.55721882963889,1.678449825289974,1.6810658241885008,1.6609348163523976,1.6431110335516224,1.4694109713975239,1.5570303100865448,1.4816153173734032,1.5217382827097867,1.69576644133488,1.7828648462969323,1.4764885236317349,1.5459813284687198,1.4750736166634673,1.5521895274051571,1.5343927964459285,1.6319806792092788
Kyurem,Dragon Breath,Dragon Claw or Draco Meteor,45,1.249683998877256,1.2976758094490297,1.2880167509034877,1.3264912744623563,1.2442295898266946,1.3159926567646711,1.2359360090095861,1.2791631402723782,1.2051684537577525,,1.2603086197425686,,1.2666574125485843,1.2520539804275403,1.3041437389866055,1.4005945881666142,1.3510293873484975,1.4265995502090472,1.3292875959291195,1.4102899635616966,1.279750982128857,1.354166048642395,1.2719463635991988,1.3358914189934998,1.3051247776121555,1.3800625090157232,1.3389672200081122,1.3211966613453603,1.3198820687564867,1.3009065275494365,1.2934640237513098,1.3650963441611363,1.3081380045429583,1.3587377205268272,1.330505343798407,1.3882436435048058,1.282267225653189,1.3313364242870518,1.2957958514217587,1.358646463761966,1.3326575032052237,1.3782064661041376
Haxorus,Dragon Tail,Dragon Claw,35,1.265851882155889,1.209177149587318,1.209030386790868,1.2116398156602322,1.2224049908006482,1.240996616750537,1.2516033152040138,1.2754119559096748,1.279813094712452,1.1955112754847832,1.2885608677892981,1.1955624593802252,1.306468194752915,1.2054761243753471,1.2818412773915957,1.3431876412146895,1.2465888337131903,1.3055446545816793,1.2609576816629429,1.3217923150037048,1.2313522653591393,1.2739196582572987,1.2307379093250481,1.2499554392706758,1.2410520748184835,1.2721046304755492,1.2550394260431434,1.2582731430315073,1.213367377866767,1.2041239196524518,1.2270054721154966,1.2522097062133737,1.2094147772878083,1.255088080746371,1.2502414269140778,1.2893039775489172,1.3228156417552572,1.2806548356897847,1.2471914527208696,1.2892924380559139,1.2596280946559726,1.3052168122683045
Haxorus,Counter,Dragon Claw,35,1.6481316032310083,1.5324724404826333,1.509951254072555,1.535090914231449,1.6911454716038552,1.7568609293579136,1.6392110879951984,1.694312192950808,1.3857767263623955,1.280145262757076,1.3963202256799472,1.2832267242402717,1.3987433196835093,1.2835230427540256,1.7493346017880886,1.8871990573074884,1.5359644091588307,1.6666037764327655,1.8445248258561477,2.02527633491239,1.7787783885034771,1.942530099547818,1.6946208249867136,1.7495752422223132,1.6897706399961532,1.764239072943213,1.5244463794649667,1.5382147947203708,1.5228064696859758,1.517692441929884,1.680793262700353,1.7890591648232235,1.4906427408531533,1.5877639091538334,1.5489756369457712,1.6248971100064165,1.93940817980322,1.7883745111026417,1.6409201998735916,1.7745707893120841,1.5444109842273175,1.6264547740441475
Shadow Gyarados,Dragon Tail or Dragon Breath,Outrage,40,,1.347986490378706,1.3262434701911419,1.3362587542263933,1.2941883653584498,1.3305958661809083,1.2791403802773684,1.3123354115175692,1.3245322304274032,,1.2712445194743522,1.276536408397,1.226692636035536,1.2847831933647975,,,1.362032662671879,1.3993366338128086,,1.4470177924826237,1.3331419223874525,,,,,1.3769832187334712,1.3432782224603785,1.341897659741526,1.29400699872333,1.3181498388089312,1.3140426708580741,1.3675413319361973,1.4192000103987599,1.400625225441866,1.374201994931655,1.3910565101010428,,1.3781290356002383,,1.3857984671568082,1.358875736704533,1.4008368367174533
Exeggutor (Alola),Dragon Tail,Draco Meteor,35,,1.448569326702049,,1.4815585391855055,,,,,,,,,,,,,1.4710616877726292,1.546680905015622,,,,,,,,,,1.4993655365402576,,,,,1.4071147015718375,1.4333000789655834,,,,,,,1.5486945545981294,1.5610682091495474
Exeggutor (Alola),Dragon Tail,Dragon Pulse,35,,1.5424909143944245,,1.5793963221854672,,,,,,,,,,,,,1.6410577634220338,1.6586041386805126,,,,,,,,,,1.5708440782790225,,,,,1.4887904617374377,1.5367612412219842,,,,,,,1.5917687865867596,1.647763300436308
Exeggutor (Alola),Bullet Seed,Dragon Pulse,35,,2.020431375930346,,2.0378891067570737,,,,,,,,,,,,,2.0881544986642115,2.1999607564940455,,,,,,,,,,1.9042146235454784,,,,,1.9058067325471437,2.037562270699219,,,,,,,1.9899122414701294,2.12511802180546
Exeggutor (Alola),Bullet Seed,Draco Meteor,35,,2.0333924669735257,,2.0580959651144806,,,,,,,,,,,,,2.205579369990793,2.2397815947957076,,,,,,,,,,1.9541902497292831,,,,,2.032720348098489,2.0631919643582504,,,,,,,2.1798006301122075,2.2046970193903612
Mega Ampharos,Charge Beam,Dragon Pulse,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1.457288143161749,1.4294461747993346,,,,,,,,,1.4732304413304669,,1.4816612275094498,,1.4708846417603387,
Mega Ampharos,Volt Switch,Dragon Pulse,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4398710978636629,1.4460966542750928,,,,,,,,,1.5043700115818257,,1.5065724552995579,,1.513024637983641,
Naganadel,Dragon Tail,Dragon Pulse,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3789076143904995,1.3714125625800442,,,,,,,,,,
Kyurem,Dragon Breath,Dragon Claw or Draco Meteor,35,1.3122549730046065,1.3468729189330995,1.3432704509206177,1.3836359372739202,1.3620990768156027,1.4587999008988153,1.297498423659605,1.3180026502749744,1.3067207317418974,1.3492584956028244,1.319734721431345,1.3256926237507218,1.4006693330094393,1.3755031926707386,1.4776186203392394,1.5661711765278212,1.4846120175690158,1.529591112855267,1.489016127711206,1.5551574580426173,1.419948552128052,1.5117664758207716,1.3168063447937535,1.3893037897060627,1.3722921575227196,1.4294542482088761,1.4793324923436448,1.4766588149487778,1.3756936726765066,1.362475086565574,1.3425262933209143,1.4156940078394846,1.4242271609110613,1.4243278988980563,1.4645313077237168,1.5667828972525941,1.3643871808059915,1.388598932103859,1.378623719215998,1.4393312250284307,1.4520110915650437,1.5190673544232087
