Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
Shadow Hariyama(Unscaled),Counter,Dynamic Punch,40,,2.585972,,2.993786,1.9663806,0.5612829,,,,,,,0.83182454,,0.5662539,,,0.69068027
Shadow Mewtwo,Psycho Cut or Confusion,Focus Blast or Ice Beam,40,1.1361872695687303,1.468480287290322,1.0995064780406205,1.3665436650862834,1.0146170414995588,1.3655430078970796,1.2052695391136126,1.1486898498205511,,1.1285570001348546,,1.153278183147934,1.3024880450941112,,1.3025703193399352,,1.1731314888568427,1.304689545046458
Shadow Mewtwo(Unscaled),Psycho Cut or Confusion,Focus Blast or Ice Beam,40,2.5738866,2.8454208,2.4937747,3.3581731,1.8267775,0.65482116,0.99458987,0.7780035,,0.66715103,,0.7976211,0.88041204,,0.61829233,,0.70481646,0.77195036
Empoleon,Waterfall or Metal Claw,Hydro Cannon,40,1.1968428317153061,1.3423629364766927,,1.3711197226686025,1.2172541340960568,1.3556245603783859,,1.289569322972926,1.2451746234845256,,1.2279008265532383,1.2830729122913211,1.3448484484012673,1.2480248200383108,,1.2927098050784154,,1.3223978558448442
Empoleon(Unscaled),Waterfall or Metal Claw,Hydro Cannon,40,2.711294,2.6010478,,3.3694184,2.1916175,0.65006495,,0.87342066,0.5845929,,0.48577768,0.8873887,0.9090454,0.6540002,,0.52454066,,0.7824279
Shadow Arcanine,Fire Fang,Bulldoze,40,,,,,,,,,,,,,,,1.8120020735204836,,,
Shadow Arcanine(Unscaled),Fire Fang,Bulldoze,40,,,,,,,,,,,,,,,0.8601048,,,
Latios,Zen Headbutt,Solar Beam,40,,,,,1.3468642820798973,,,,,,,,,,,,,
Latios(Unscaled),Zen Headbutt,Solar Beam,40,,,,,2.4249754,,,,,,,,,,,,,
Gyarados,Waterfall,Hydro Pump,40,,,1.2390605645157555,,,,,,1.3382224177265263,,1.2813419403918513,,,1.295814862635255,,1.292959676741628,,
Gyarados(Unscaled),Waterfall,Hydro Pump,40,,,2.8102953,,,,,,0.6282776,,0.50691986,,,0.67904353,,0.52464205,,
Excadrill,Mud-Slap or Metal Claw,Drill Run or Earthquake,40,,1.3427072686920474,,1.325053379132025,,1.3480891878472268,,,,,,,1.3495232868703262,,,,1.2588275750034288,1.3267137489318435
Excadrill(Unscaled),Mud-Slap or Metal Claw,Drill Run or Earthquake,40,,2.601715,,3.256214,,0.6464515,,,,,,,0.91220534,,,,0.7563026,0.7849815
Shadow Scizor,Bullet Punch,Iron Head,40,,1.3682160308941138,,,,,,,,,,,,,,,,
Shadow Scizor(Unscaled),Bullet Punch,Iron Head,40,,2.6511424,,,,,,,,,,,,,,,,
Shadow Politoed,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Shadow Politoed(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Mewtwo,Psycho Cut or Confusion,Focus Blast or Ice Beam,40,1.2896257470848713,,1.2562111525337116,,1.1772643559276876,,,,,1.3178283616229702,,,,,,,,
Mewtwo(Unscaled),Psycho Cut or Confusion,Focus Blast or Ice Beam,40,2.9214818,,2.8491943,,2.1196175,,,,,0.77903956,,,,,,,,
Shadow Poliwrath,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
