Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
Zarude(Unscaled),Vine Whip,Power Whip,40,2.4516761,2.449467,2.4435835,3.199243,2.0421786,0.6191192,0.9497286,0.77767825,0.5101835,0.6540617,0.4369775,0.7853518,0.8774425,0.6020151,0.59897524,0.4540642,0.7140099,0.747997
Shadow Swampert,Water Gun or Mud Shot,Hydro Cannon,40,1.0,1.2112215969789595,1.0351609692648296,1.1583884080098608,1.0487050504479383,1.163316126963035,1.0429965443579092,1.0004142706276085,0.9999999999999999,1.0,1.0,1.0172935904343758,1.1831378333502356,1.0,1.1366517498078355,0.9999999999999999,1.0891515334907238,1.118244518599444
Shadow Swampert(Unscaled),Water Gun or Mud Shot,Hydro Cannon,40,2.348868,2.34694,2.4219096,2.846648,1.8881516,0.55784696,0.860682,0.7285696,0.47393858,0.5995152,0.399132,0.7397289,0.7997377,0.5518337,0.5395356,0.4263586,0.65436137,0.66163576
Chandelure,Fire Spin or Hex,Energy Ball,40,,,,,,,1.6655110293101854,,,1.6753461797132083,,,,,1.6121809258278228,,,
Chandelure(Unscaled),Fire Spin or Hex,Energy Ball,40,,,,,,,1.3743817,,,1.0043955,,,,,0.7652555,,,
Landorus,Mud Shot,Earth Power,40,,,,,,1.3804107215435393,,,,,,,,,,,1.3095400925966612,1.3595582091207044
Landorus(Unscaled),Mud Shot,Earth Power,40,,,,,,0.6619507,,,,,,,,,,,0.78677064,0.8044147
Shadow Pinsir,Bug Bite,Close Combat,40,,,,,,,1.865120894152844,,,,,,,,,,,
Shadow Pinsir(Unscaled),Bug Bite,Close Combat,40,,,,,,,1.5391,,,,,,,,,,,
Exeggutor (Alola),Bullet Seed,Solar Beam,40,,,,,,,,,1.3383189863969291,,,,,,,1.2747597914056383,,
