Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Arceus (Fire),Victini,Victini,Victini,Volcanion,Volcanion,Volcanion,Entei,Entei,Entei,Reshiram,Reshiram,Reshiram,Blacephalon,Blacephalon,Blacephalon,Mega Charizard X,Mega Charizard X,Mega Charizard X,Mega Houndoom,Mega Houndoom,Mega Houndoom,Arcanine,Arcanine,Arcanine,Flareon,Flareon,Flareon,Lampent,Lampent,Lampent,Magmar,Magmar,Magmar,Marowak (Alola),Marowak (Alola),Marowak (Alola),Ninetales,Ninetales,Ninetales,Torracat,Torracat,Torracat,Typhlosion,Typhlosion,Typhlosion
Donphan,Mud-Slap,Earthquake,30,1.5716905374532262,1.5805086868410865,1.2789975028652534,1.5823606879539818,1.5941484334751501,1.3483543215478624,1.6854558173248884,1.5634846024556306,1.5212770671705806,1.5515200452342355,1.581973831669253,1.3544155244547587,1.7532364040703552,1.5719590268886043,1.4833799447402116,1.7951804782521394,1.573006887931793,1.492670996911373,1.6493793695811616,1.5903476701609374,1.5163237931101796,1.5589457326916405,1.5945838299413124,1.4143445529019507,1.5522358651943005,1.5969083890844282,1.296739120700001,1.5532999846455962,1.5524918581253082,1.335639187671222,1.5455271467361256,1.5654064945755672,1.307724441277291,1.5097600029617837,1.539914663606157,1.2603222790925834,1.5711404939708666,1.605651236566632,1.307514488773762,1.4945869779475176,1.5205741037329061,1.2662544659356905,1.5494492027396887,1.599041381282425,1.2884707035771183,1.517966982317942,1.5212184697896591,1.3504148160563145
Nihilego,Poison Jab,Rock Slide,35,1.413774468504983,1.497930186488148,1.4138594773474205,1.3922828649509895,1.4830740939130198,1.3831546122326432,1.3104372212568094,1.4242293314594827,1.402306545499435,1.3651606893339543,1.4583403672840949,1.3588230149512979,1.3707443223936924,1.459464923512366,1.3879051822899118,1.5283221918648855,1.6417395581165015,1.516267747197336,1.391168670364514,1.471207824042701,1.402761394027112,1.3575034322526138,1.4574174373519606,1.3702306775492963,1.4346346400136132,1.5200927841514638,1.4337121720984802,1.406317933135612,1.4841405170393478,1.4182862869010773,1.6740794436731334,1.7727390006266048,1.675160644297281,1.431087622520663,1.5052617939153856,1.4281443499347481,1.662409522013919,1.7683025796985024,1.6532940954660589,1.4009409264506592,1.4716259085869163,1.4099574966120487,1.4537915821293863,1.5231825052084043,1.4567191819060716,1.4434257940165927,1.5001759825693457,1.4360680465934803
Landorus (Therian),Mud Shot,Bulldoze or Earthquake,50,1.0997168901943817,1.1099483115877677,0.888243732495389,1.0960743907390285,1.110589864927107,0.9124329156161186,1.0675108490252496,1.0512523462698662,0.9210054854444223,1.062516398427378,1.096019021158802,0.8929124217197552,1.097189837590134,1.100249342947638,0.9239756722151088,1.0803877817610814,1.085098558565469,1.0626727341231255,1.1033333612205685,1.111105533664076,0.9590475951442746,1.0602507430261154,1.0987010243953956,0.930974759742317,1.0723196933465882,1.111206641768989,0.9144254278728606,1.0830430812247966,1.101427959561349,0.9014004832596592,1.1095575677900504,1.1480261945423942,0.9399687926183484,1.0899641809279639,1.1214238775302425,0.905435798709773,1.071775786738366,1.1229025092014984,0.9058537105196285,1.0354271898484662,1.063377787359862,0.9032816927436245,1.060145154481951,1.1167363390024374,0.8792875719985294,1.0946367216961368,1.1121763177742396,0.9023631945026398
Groudon,Mud Shot or Dragon Tail,Earthquake,40,1.2731106405264476,1.2736206935810732,1.020726977404346,1.2420616101616848,1.265718984240927,1.0180978570526884,1.1835503138383234,1.1963744789144328,1.024613280916161,1.1974441843295103,1.221133174552488,1.033199569623909,1.1985713323000202,1.2130012130197452,1.069196037468832,1.2285448708258975,1.2224465807386082,1.0385390274772752,1.2077710569541005,1.2296262831614087,1.0612654669578094,1.2314258558001299,1.2496929831178432,1.0447686435435934,1.2088897247821453,1.2500962769911426,1.0469921276767242,1.2395852694697882,1.228416960959408,1.0030223931858773,1.239203351721935,1.2735560442800802,1.0521310710029366,1.21699693640495,1.260636968614348,1.005155354812436,1.2282873326720822,1.269249370855227,1.0476674508775237,1.184404644573118,1.2180069606997659,1.0178021436491314,1.2145454050300248,1.3076294611854737,1.0372826427375101,1.246115813290874,1.2506494594821085,1.0357998826782873
Shadow Swampert,Mud Shot or Water Gun,Earthquake,50,1.243362099718408,1.2395503639441066,1.0313804069798331,1.1947349207269848,1.2239876356614272,1.0221067140678468,1.1717738591510065,1.1801444637527023,1.016299651501771,1.128793502866801,1.1742006211571747,1.017951320314931,1.2396337354269156,1.2281706988341532,1.0415863602668645,1.159703906921548,1.1713545062596027,1.0022877048274181,1.2361546849160734,1.2468271298178686,1.05318374620385,1.1559102635668272,1.1905375435632064,1.027442934085663,1.163966432915088,1.2198249997761,1.0397109003465972,1.163273882158991,1.1927705001495035,0.9917328656974537,1.1936577754297157,1.243884458969665,1.0380386037768303,1.1635737622983442,1.2337032477809762,0.9810260729524356,1.1813822331155577,1.243698305612709,1.039953767081178,1.1522499076013304,1.175126278181594,1.0024562646297892,1.1732458230640395,1.240212965862825,1.0084423807513718,1.218478169781279,1.2208329841615688,1.0324059331266238
Mamoswine,Mud-Slap,High Horsepower,30,1.2936903704715712,1.2890968569498522,1.1022443852418577,1.4626613351711526,1.3203571465126356,1.2412001323775763,1.484516992849614,1.3120895016886813,1.2517622741962542,1.4204200844887656,1.3160010006854288,1.1565442182958652,1.4758760698160254,1.2998786980254735,1.2022070220365253,1.4264877413765487,1.3107668774634,1.2090520012905002,1.482042014908516,1.3185670423077245,1.227060657525231,1.3202299232080625,1.2996937374590771,1.135751248434742,1.2902728892948943,1.311122455376734,1.0714778294240397,1.3248183735645653,1.301107941459315,1.0777498525169102,1.2905603813689475,1.3323094691059207,1.1216842156995246,1.288866469831456,1.314782077506178,1.0711475986412817,1.292226475723619,1.33802493626579,1.0862358698592518,1.2727839719108045,1.2729610693606013,1.0800172477516323,1.2767194542409346,1.3353395334903797,1.0984354362123667,1.3071147238749687,1.2692030503645355,1.1310064526942094
Rhydon,Mud-Slap,Earthquake,35,1.3982679448353332,1.4135422122033228,1.1906459913017737,1.3985435054810458,1.4290568780045103,1.188556163233834,1.5338796620738335,1.4274231072367984,1.2788334013870293,1.365923406886424,1.408806438556491,1.1488641610208619,1.4038226969472336,1.4128445313026485,1.1715395242267,1.4047500332777576,1.4187018741581856,1.1777551163142232,1.3959206552384777,1.4050983443348477,1.1981360172008466,1.4067739842795288,1.4420801713863285,1.1932109288957953,1.3921115559257369,1.4402321394986433,1.155753781670652,1.3625093944707984,1.3723685380183122,1.1585625045457117,1.3957808602916784,1.4304407121180476,1.1560246218869408,1.338939126088687,1.394870560795239,1.1336504910082097,1.403988818847292,1.456451705453681,1.1776360551188203,1.3708497597634595,1.413122151041025,1.1513875200197117,1.3686052369994144,1.428042320837702,1.1663693677746156,1.4377608313081371,1.4202715159641333,1.187421436352971
Shadow Dugtrio (Alola),Mud-Slap,Mud Bomb,30,1.625340225121631,1.5409067103854999,1.3790225501134716,1.772308862815207,1.6457364526221336,1.4805834848738149,1.7831793420631983,1.6960658633165258,1.4907130444691339,1.7954513559084169,1.723105053664807,1.5214038884357781,1.6471915223397804,1.6603359390794528,1.4223583125547543,1.7712633590455713,1.7177775421386656,1.5095738416520208,1.6313028637401803,1.6942973392788918,1.37838237303639,1.8822744896881554,1.7658917067724758,1.6092331367017185,1.648844228306331,1.6535998638688125,1.3916906239644626,1.6912956692499779,1.679028308672006,1.5400143846520613,1.730609035397034,1.6629357054219753,1.463970217837353,1.707218422294827,1.6252047795785012,1.491850466943717,1.622693477387676,1.6366617209466272,1.4227934847652695,1.5852223727978316,1.6088764321793765,1.3663068251817174,1.9052547011805716,1.668105502525906,1.6030583205109001,1.7926506326992375,1.7784295650716502,1.4826447666135927
Swampert,Mud Shot or Water Gun,Earthquake,40,1.5261485681323101,1.540574265090967,1.3044561331602795,1.4663563072115073,1.5060064619363291,1.2837093698076771,1.4350023897925788,1.4581327331946938,1.2381357085655864,1.4311001641368173,1.5115414420039741,1.2846299192739743,1.537376170901004,1.5382000134779972,1.2887846216052294,1.460708556783135,1.4850092162467654,1.285410354233269,1.519795753889572,1.540814363041605,1.3063942641534692,1.5106256506193143,1.559953532579998,1.3032753496371619,1.5031122097136767,1.5675774917828706,1.3043606759988178,1.5319896883056012,1.5505846795374285,1.2715951609383966,1.5690186875698788,1.6129547492966052,1.3039033799805875,1.48427940727303,1.5526318225151097,1.232731412493174,1.5477945094310235,1.6235541966210623,1.3370084678377914,1.5193498213625722,1.5366591721079217,1.3140630774916842,1.509484061602146,1.6530862348343522,1.3227576628222062,1.4792089164501803,1.4876057990446663,1.3063856532305373
Garchomp,Mud Shot or Dragon Tail,Earth Power,35,1.2430433165592671,1.2622644230404323,1.0478508702021236,1.1996257262854784,1.2569097341871913,1.0151193615852556,1.1517739857625338,1.1853988421375825,0.9795870565035594,1.1923492310790114,1.257161917817692,0.9992494859283696,1.2029550508794393,1.1565233506300965,1.078940629422468,1.2126753286601586,1.23190648837309,1.0000631713364574,1.1417312953341867,1.166088006536768,1.0313536185082002,1.225949338442738,1.269025240257683,1.0007392544091245,1.2463526693355544,1.3067071477829424,1.0258201456245466,1.1961484690043074,1.2297746135134917,1.0284864598401526,1.2241402612082417,1.2815667579953558,1.0223611947266897,1.1943300352637376,1.2593967216756292,1.0224817896578213,1.2734300071316735,1.3353526079792772,1.0549958603503538,1.2293488973758777,1.2699196131575705,1.0015553776025625,1.2317161181388636,1.3197075123571944,1.0234344149566306,1.224947624235314,1.2449006955501551,1.0284672756222242
Arcanine (Hisuian),Snarl,Rock Slide,35,1.4918338380733351,1.558996895659236,1.4927704533551927,1.3490810335003975,1.3993708653331105,1.3476651393205754,1.7842223045197152,1.5966283350267627,1.7900527653540217,1.4660570350016169,1.5496956248487277,1.4650665191401426,1.511751128782263,1.5992199609138082,1.519126962733338,1.3294137023141015,1.3923300973064194,1.3432324321641371,1.489373569036245,1.5783784688234654,1.491077479105489,1.5659822277205317,1.6989152573057948,1.5718872108987223,1.5423753101014714,1.6270901063077101,1.5424469580948799,1.5063639963472684,1.5634177286796023,1.5067680596074122,1.3389809684117409,1.4217665343834085,1.3341769974567212,1.4672306396527308,1.5290856418277907,1.471386392454856,1.388004033084408,1.4652556336123157,1.388930330926052,1.5091859677220647,1.563986078600468,1.5063216089688307,1.515557129045875,1.5983877776113509,1.518620896254034,1.4837509427637645,1.5508924830302524,1.4889968993547307
Shadow Hippowdon,Thunder Fang or Bite,Weather Ball Rock or Earth Power,30,1.4688389461939566,1.510402198085783,1.2507138465742196,1.4073169317061354,1.460549435177635,1.2683460650083076,1.475481677729349,1.3766012401599104,1.3314943008986253,1.445695527220881,1.517504876307552,1.3289102495001657,1.71372228586832,1.587549700114563,1.4771564795471392,1.6002292217065737,1.428671664722644,1.3560381645116968,1.691572756402212,1.6158198707705522,1.5116080616419447,1.5034986346423669,1.5611423743644677,1.323075298341958,1.4882183830839089,1.551071585301414,1.2670858074281057,1.4845364990342889,1.5097096401412606,1.3795447015184699,1.4274182649187257,1.4856679485446793,1.2851052327652934,1.427885193858001,1.4983756467332452,1.2288903492128134,1.417957062406243,1.4905771737259306,1.265117918534974,1.4630328323272144,1.5112880374522606,1.3035219292842182,1.4552894238755973,1.5683764757145386,1.267487302387015,1.5335707701332442,1.50157546300176,1.3831056733428309
Shadow Mamoswine,Mud-Slap,High Horsepower,45,0.9798468322821079,0.9683751925981586,0.8188476747804571,1.0728127846714954,0.9839645719393656,0.9074056383294495,1.0974386488017802,0.9719492161163814,0.9173638213891184,1.053190905152513,0.9688384116762905,0.8594667485655825,1.0779550508794393,0.9633347934496934,0.8835113552126154,1.0562540751152314,0.9724730901387287,0.8678636130845887,1.0658082975679541,0.9660696009615519,0.912643235811672,0.9942338156088288,0.9776533952898934,0.8452574566630962,0.9696570747915492,0.9930501446393867,0.8169572888399295,0.984629433584122,0.9727095674098738,0.8150925708928991,0.9688540502021108,0.9989310857465813,0.8340971360469831,0.9647547735623779,0.974306526105347,0.8053089973436502,0.9532260576599912,0.9969997786721971,0.8122238525792886,0.9518063939879265,0.9584128988542565,0.8038607244055685,0.9486784950775473,0.9853756178597203,0.8227917046800747,0.9914271348361687,0.9676946283415738,0.85294561300595
Shadow Dugtrio (Alola),Mud-Slap,Mud Bomb,40,1.4890695326790688,1.4296893382213416,1.242776145911606,1.664919259913818,1.5072278839035007,1.3670543601011256,1.6281783449974203,1.5072500925846795,1.3699493870419432,1.6526360535570095,1.5502285101787199,1.3759038202996767,1.5441673967248466,1.5314660691421256,1.2578324011051958,1.5910716340394235,1.55297254979819,1.342372850764486,1.504468929436929,1.5292969349139818,1.2865859610080679,1.645375133895569,1.5784409275379812,1.407612811731515,1.51565956455932,1.5043481375999714,1.263798955730496,1.607735387052197,1.5693251335429077,1.3063930889019986,1.5244314481945178,1.493924389674534,1.3420771338354365,1.5663115611376952,1.495802597114112,1.3786362837018595,1.474510414702724,1.4920362977596708,1.25587953209663,1.4254034741899717,1.444984292226192,1.2142879142540346,1.5666199158485274,1.5193289668976975,1.50256675608328,1.4878655828375096,1.5006117489315345,1.3807340987178414
Terrakion,Smack Down or Double Kick,Rock Slide,50,1.072641573877997,1.1263246578773596,1.0736464998368134,1.0902948130507912,1.1351923057239655,1.0894316293700805,1.039683217958579,1.0806372991228987,1.0398747178936907,1.0562905892857506,1.117427994378263,1.057354326032262,1.0766662174000943,1.1144012399757397,1.0796280072781186,1.0774841564032047,1.0962776289992533,1.0722838017412728,1.0692886245178994,1.1128875279918122,1.076575559069347,1.035131179940558,1.0872501244663035,1.0430547802603987,1.107704846091154,1.1588436013863888,1.1082869860375972,1.050047275401437,1.089693962486767,1.055914273938728,1.08966593357988,1.1389097074615129,1.0966937376368395,1.0661403330155586,1.1209981211184437,1.0625121479410975,1.1105573361969325,1.1686927724176372,1.1091473961193858,1.068228717506468,1.1257083897991869,1.0747428237033387,1.1059382616865698,1.1511458489358515,1.099388608232683,1.0784714656833991,1.116441800050281,1.1144473309310317
Golem (Alola),Rock Throw,Stone Edge,35,1.5458782096530577,1.5619509529339435,1.5466174829792563,1.4821802040934695,1.5140071170006244,1.4916138123036087,1.7242970686266132,1.516758618288402,1.7367651387820604,1.4783093297644931,1.5319131193520765,1.4899555183123399,1.4973768448008626,1.494677875867646,1.4954781319495922,1.4893071232450212,1.5225736002472707,1.4966079248441586,1.4660570517057228,1.4938132168762392,1.4688876060760707,1.4627611906522036,1.5039150310034248,1.473086613460465,1.470189956742524,1.5274635714733513,1.4729215364912187,1.4369297657241218,1.458975457197579,1.4375762669403522,1.5145286333869838,1.568195500731039,1.5274907545060266,1.428190627805596,1.4845570744981165,1.4313467785974103,1.5266044216376617,1.5910190095990688,1.5296210376175292,1.4381775902427005,1.4959190587655538,1.4611078600468153,1.4719290840016885,1.531801903620692,1.471915467258541,1.4919718427889048,1.5051537752451187,1.4969747758317273
Nihilego,Acid or Poison Jab,Rock Slide,50,1.2528512117555084,1.3231717406319496,1.253042481650993,1.2373635709192394,1.3273939699966906,1.2379606347300076,1.1851076356246855,1.263344063660276,1.1763461179323071,1.2639084088084724,1.3562765552827851,1.263839255750382,1.2430200822157826,1.316550980524294,1.2361244019138755,1.3031502191819764,1.4384541973968898,1.3175781012049932,1.2350893925323563,1.317247976083907,1.2332209477755747,1.2638353725691354,1.3551408355083505,1.2500942926542251,1.2847470378032726,1.3648853184305507,1.290425141280887,1.2695182757812564,1.325852775510534,1.2504384086372564,1.481306286935902,1.5337322308363333,1.4690199162069517,1.2749275751321234,1.3770906028155456,1.2709476782392195,1.455394250395521,1.5623775524423933,1.4584108663753883,1.2642370949858321,1.3275455833435998,1.256683503757546,1.3357752692710958,1.3928430398017402,1.331445144950231,1.275655744573871,1.3361518478169783,1.2876812201458143
Shadow Ursaluna,Rock Smash or Tackle,High Horsepower,50,1.1202009851917631,1.1545506295967392,0.9938140886976189,1.194770744555631,1.2219576187048151,1.0528367354597903,1.1446900708074967,1.1544075055313412,1.008634906165032,1.1610900149085857,1.2110327602443136,1.023827296339159,1.1758002560819463,1.187723229328122,1.0290737246445179,1.445743718400231,1.4906517702638984,1.2895435645329043,1.179404161333233,1.2123780282051497,1.034923184610708,1.0615059668391593,1.1024335048202405,0.9606083007709368,1.2087195607978003,1.2784330583841585,1.0645817100584827,1.1699166821557585,1.1654800675593773,1.042079147911397,1.4239780811146197,1.5220110331609147,1.2653487486331412,1.1313180863174848,1.188480512388586,1.009551752542969,1.4206375880187883,1.540482494610258,1.2286316203654368,1.1274793642971541,1.168234877417765,1.0020327707281014,1.1617396751045086,1.2233826713326708,1.0461607592695978,1.19177071985251,1.1980641917371995,1.0875471381882176
Shadow Flygon,Mud Shot or Dragon Tail,Earth Power,40,1.3377932615312218,1.3090693808775644,1.1287944683531814,1.281225584354881,1.2878444631713983,1.0728759028457766,1.214633443801891,1.2147189065828499,1.0290668413905744,1.2428777434950362,1.293422527218847,1.0600980753076803,1.2394062942246782,1.1959060583597279,1.1273232697621134,1.2798670694591405,1.276300145068462,1.1615900225386304,1.202494792058831,1.2109725115522871,1.0798941400552726,1.2948357799134016,1.3137999185311469,1.0713516286227238,1.291177445211675,1.32078597848769,1.0695612456003654,1.2355365556031452,1.249783826155823,1.0494654243068295,1.2650661621063755,1.3058691992972196,1.0660023835559214,1.2458558166655869,1.282276501022741,1.0554501448497358,1.3116869277241763,1.3540425113328032,1.081948668344386,1.27290717013675,1.2973389183195763,1.033101823333744,1.265295006740288,1.335679952069064,1.0749193207968517,1.272119332942261,1.2849493002597838,1.1120589960613425
Rhydon,Mud-Slap,Earthquake,50,1.257475085578098,1.2948243277090876,1.0491502910793846,1.246310998597753,1.2757087147433819,1.0467023312782966,1.3540912932417932,1.273036176078651,1.1495092220671232,1.220978597128521,1.2791668276848165,1.0329860087092175,1.2244137071231216,1.2493311543904575,1.055573151829638,1.2228955484512871,1.2482317666089853,1.0271569063191641,1.2189789367712718,1.2541140643693163,1.0499265171353116,1.2634431151275591,1.2863479323506781,1.0562376476622966,1.2409880258291017,1.2929149090518284,1.035788172707488,1.20305795075277,1.2351890611994214,1.0360586053352514,1.2647590028381517,1.2773893919475126,1.0567630327677509,1.2077506178095758,1.2586747868904047,1.0053126995733181,1.2629128378322991,1.321843414678132,1.0477576214638784,1.2539192435628927,1.273307564371073,1.050680670198349,1.2362641103500864,1.331594929124852,1.0383855989324473,1.262633034442303,1.2610827118075925,1.076594318277047
Mamoswine,Mud-Slap,High Horsepower,45,1.1136431602037176,1.1275405879272262,0.9354646264544482,1.2754613597360636,1.1763044138368686,1.0587152551509547,1.2341759330478244,1.1160901094240125,1.056321555296002,1.2774990186367492,1.1664310716893482,1.0589570498491854,1.2327953366129794,1.153618842240043,1.0241896354201765,1.266240109737636,1.15265579066824,1.0696509106824987,1.3129979614431087,1.1637566336760674,1.059645218594093,1.202821236214414,1.167671952084245,0.9849161926889248,1.1564971296022641,1.1883983986673474,0.9652955031928137,1.1601787575862879,1.1370663391060505,0.984629433584122,1.1642442039046086,1.1786315440282096,0.9698123871189689,1.1200910748498283,1.164369741676925,0.9654767083476024,1.1366330303055143,1.1799149117557852,0.9515210138452836,1.1098389183195763,1.1513952199088333,0.9475175557471972,1.1618894592791296,1.1907841882378574,0.9475346886531679,1.1757898265314675,1.1538674264644264,0.9924411296404928
Landorus (Therian),Mud Shot,Bulldoze or Earthquake,30,1.3330555365803674,1.2991172742521877,1.0714863644298716,1.3010549264587974,1.2930406242216848,1.1612038171142371,1.425447967410193,1.2334336729687556,1.2813814583748777,1.3223468107219782,1.3168654139115614,1.1693517714369395,1.512832738055125,1.2868185187681112,1.3113333108700047,1.4714567084575139,1.2612789037065781,1.2817847707444516,1.4541519910091554,1.3159512196482304,1.2421448630318443,1.3047508410904758,1.293408566299051,1.1714617624428587,1.249997761000206,1.2786121783676796,1.091073555621233,1.3255941750240419,1.2689687497474607,1.116127780965388,1.2471649199542947,1.289675762676463,1.0742096792028604,1.240135871828809,1.2847477393260092,1.049563599677906,1.2632489281996213,1.2913001778819748,1.0937282258527268,1.2140492176912652,1.245495564863866,1.0492253911543674,1.2580236658995902,1.3408679312082137,1.0784052070425796,1.2872286935389259,1.2877901617363614,1.0845051537752453
Shadow Sudowoodo,Rock Throw,Meteor Beam,35,1.3492087346585604,1.3621983893860388,1.3499085395936272,1.5412571093240897,1.4059283318719487,1.5530755609840976,1.4735413560727637,1.3564826684645503,1.6501897590266106,1.329241777396306,1.3587823366818328,1.3316804396507362,1.498436552328324,1.3894635757126492,1.6065772626187749,1.3526923397986188,1.357908487294665,1.4940314367643641,1.3671661270486661,1.3858226873813049,1.4735447743504366,1.3749015584689892,1.3965933949881568,1.3894935352956264,1.3633359305730943,1.3993569592591597,1.3578011230822966,1.326668983296025,1.3357200003232508,1.3710270479946343,1.3287341352237962,1.3645489058986866,1.3450872946640293,1.2967059411530595,1.3443628925520394,1.3125607397054877,1.34918149699568,1.3855120459706043,1.346869851054586,1.3315264260194652,1.3611632992484908,1.3370010471849205,1.3441359495635834,1.3902694753468865,1.3519519601301762,1.3639235732841701,1.3751277968658344,1.3650884102907903
Shadow Omastar,Rock Throw,Rock Slide,50,1.094903264491351,1.1222184271846134,1.0928676063179785,1.110352745299402,1.151045202848165,1.1125550578128358,1.050878842264194,1.0865279004326949,1.0430827374678329,1.0687605127902648,1.1188517338095403,1.0712113785255348,1.109289709549161,1.143421052631579,1.1170429274209852,1.0654928830721124,1.1014937764952994,1.0754581613982523,1.0900283613181738,1.139079219268964,1.0965539743493211,1.0751052306021152,1.1231869408445605,1.076131134680084,1.1332383997420672,1.1693042084240128,1.1334443877231164,1.0687877294069161,1.1041513459347196,1.0690867362194225,1.114177243184136,1.1325699401653746,1.1056505018982443,1.0846237146321371,1.131132974834094,1.0861601399442815,1.1303538785648122,1.1836446951004582,1.137051093933159,1.0981658864112356,1.1208574596525809,1.1025240236540594,1.122509838096924,1.1687250643391114,1.1214204986451342,1.1280734098717842,1.1310315930612589,1.1318947456632868
Donphan,Mud-Slap,Earthquake,35,1.5094746908941867,1.4898179140955286,1.2732654780608874,1.5132462871160453,1.510289968304441,1.241677783426191,1.5870090242366117,1.465254631607935,1.3842280020384456,1.4620034454494237,1.506773948822669,1.2408967117720877,1.5121992721881528,1.4860250016847496,1.3841869398207427,1.648530476785662,1.498065377820995,1.3977154537394048,1.4992763262471869,1.4928511072626727,1.3922506950893367,1.4703860718434592,1.5114855996258467,1.333077863102153,1.4764054201707013,1.516967140439023,1.2343695424380021,1.4752753691117884,1.4694568581657146,1.2858181876954657,1.4754579744689216,1.5063827695936898,1.2385767468147584,1.4215543811260332,1.4723767388909972,1.2083892524272744,1.4837815904451968,1.5309408071087212,1.2439688173717733,1.4111586793150177,1.4527611802390046,1.2151195022791672,1.4871934530698947,1.5456501314015714,1.244583940413132,1.4793262381630774,1.4936897678706111,1.2815050699740218
Lycanroc (Midday),Rock Throw,Stone Edge,45,1.3198730939423609,1.3336187201615168,1.3196757519867022,1.3798366433413738,1.3141050354655903,1.391351445406191,1.3507772365134985,1.312703567596312,1.4899296356436773,1.261799240536709,1.3016680124394147,1.269442687369194,1.3603696340723768,1.2988914347327987,1.3666335332569581,1.2818659910341825,1.311989694047681,1.383542513181376,1.2635845694350325,1.292233126131176,1.2702998156653755,1.2834965224869122,1.3246956233121616,1.2891450296456106,1.3080057676634693,1.3598341348952596,1.3194694466088108,1.2525072125291936,1.2815593609335478,1.2728962446360603,1.301310955756779,1.3402956100797385,1.2959049526360409,1.2642836648371483,1.3171607600677508,1.2668752256046203,1.3222368863276799,1.376814683050389,1.331057209138379,1.2738388567204633,1.3057471972403596,1.2679715412098065,1.3027002001661243,1.354280423208377,1.307534143983442,1.2993044498449677,1.3169948881253668,1.3000167602446997
Landorus (Therian),Mud Shot,Bulldoze or Earthquake,40,1.1889518865131954,1.1671091680518553,1.0075414987362523,1.1682099344594525,1.1681314632157516,1.0117689806585444,1.2877943322349783,1.1706850000158264,1.0808905221775917,1.1753884266255545,1.18377628578925,0.9918297695779426,1.1739402924725386,1.1538530224408654,1.122321248062538,1.3520312968849764,1.1871766699229986,1.1508621759366844,1.1681934927925441,1.1573174710739653,1.089947488336164,1.202072929710484,1.2093085708250986,1.0176666716956082,1.1757167038340632,1.2307065387749985,0.9699705347627108,1.136355187768197,1.1404604704912602,1.0282682656796749,1.1407158039586687,1.1734221228391346,0.9714464744259194,1.126606999065187,1.1595660986829317,0.9493905204409355,1.1814314170717513,1.237853612151716,0.9789410694231542,1.1393294936552913,1.166748798817297,0.9358830232844647,1.1838396492326966,1.2137964841569193,0.9781995942210542,1.137492667392944,1.1490907567250483,0.954160730746669
Rhyperior,Smack Down or Mud-Slap,Rock Wrecker or Earthquake,45,1.060814718673862,1.127451025039658,0.9808183619099665,1.0532427388511127,1.1099348006318641,0.9929137055144813,1.152100010445451,1.1182298442361684,1.068718406467317,1.051897336183524,1.1158944236194304,0.9600539393853106,1.0481231888941303,1.0929998652200283,0.9970904373610082,1.0205261721103063,1.093868093737239,0.9755053142886795,1.0425419772607485,1.1034281778201664,0.9893359212687577,1.0411025451473228,1.0999834044928565,0.9807854200926331,1.0827355203883322,1.1463231145382735,0.9905514208692693,1.0582335970519545,1.0969994262301708,0.985502210226033,1.0695408583258592,1.1162413534665996,1.0011794915899792,1.0483140971650176,1.1091694973297668,0.9631813259535555,1.103606003721586,1.1610036805993884,1.010074513693633,1.0563477885918442,1.1097927189848467,1.0136365036343475,1.0860714334345511,1.1278748348969894,1.0042484238619807,1.1164920807843794,1.1088410290790247,1.0373083047012488
Rampardos,Smack Down,Rock Slide,45,0.9915279580420642,1.0286419078413067,0.9895742726810423,1.0594402612068876,1.0238893760171408,1.0672549735415437,1.011194041661523,1.0121736983543668,1.113026110462227,0.9632797261538899,1.0112902536900275,0.9653604196370278,1.026047914279938,1.0318923108026148,1.052144686299616,0.9720218663068909,1.01038266037059,1.0688229149510762,0.9836664463575088,1.0289915696888063,1.0013692632471338,0.9911017908060891,1.0309883378845255,0.9907336722839944,1.0112756029626446,1.061662054327091,1.008911219180168,0.9772997260451097,1.0111117396539604,0.9799988686228717,1.015124522367338,1.0464793404676194,1.0147805039869273,0.9778514110122821,1.0256379404496359,0.9700767287098655,1.0153371970063365,1.071579050913592,1.019386676066267,1.0171476530737957,1.0352885918442774,1.0119964272514475,0.9948528710902926,1.04080937921268,1.0006808371573688,1.014472471298081,1.0133998156373083,1.0175563563228025
Tyrantrum,Rock Throw or Dragon Tail,Meteor Beam,50,1.0785709406380217,1.1072599069456777,1.0766187732920434,1.0752249224669994,1.0907519933401797,1.0817312121077718,1.0107271616544329,1.035555682167083,1.0121657851339076,1.040513522473727,1.0865125095848172,1.0377229931884238,1.1426073185524632,1.0586360266864343,1.141574567019341,1.0293047317587125,1.0647686688220126,1.022498020255438,1.0412089674193432,1.084411872153759,1.048643704317223,1.0542974820089617,1.09884284054735,1.0587118869091623,1.0779440608291464,1.1272737042908192,1.0800039406396376,1.052738336713996,1.0823076860913345,1.0554455605569608,1.0771952672899952,1.1257141452986204,1.08989937462373,1.0559406902807216,1.117601325398221,1.054996621715428,1.1013353444106533,1.1515357690321417,1.1080079678009034,1.0443667611186398,1.0965258100283355,1.0568251817173833,1.0580890262666975,1.1056659268236224,1.062037881779436,1.0411547808598007,1.0581412888628174,1.0391603117405515
