Attacker,Fast Move,Charged Move,Level,"Arceus (Water), Tier 5","Arceus (Water), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Phione, Tier 5","Kyogre, Tier 5","Kyogre, Tier 5","Suicune, Tier 5","Suicune, Tier 5","Mega Blastoise, Mega Tier","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Alomomola, Tier 3","Alomomola, Tier 3","Azumarill, Tier 3","Azumarill, Tier 3","Cloyster, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Dewgong, Tier 3","Floatzel, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Lumineon, Tier 3","Octillery, Tier 3","Octillery, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Vaporeon, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3","Walrein, Tier 3"
Cacturne,Sucker Punch,Grass Knot,40,1.649536374965745,1.4856327995022327,1.8805609433498172,1.7367697401471487,1.4902013314283145,1.4816123614675465,1.457947795205775,1.4789049952873796,1.5627533364889064,1.4967247757953757,1.501967836194555,1.50010984341848,1.849946433417224,1.5259984609865012,1.644722083061677,1.6488052245726048,1.6335121854290862,1.6203605836935493,1.3383396100319325,1.3477138905812012,1.5440897009309313,,1.648698293961029,,1.6331713562528187,,1.6042208086186285,,1.645097148029186,,1.5082618673663395,,1.6049204727384319,,1.5870667292840228,,1.638774748743239,,1.667438756903887,,1.6412279181536604,,1.329924368988522,,1.5073668830436244,,1.4167624748523644,,1.4797675384717845,,1.5443601087305907,
Cacturne,Poison Jab,Grass Knot,40,1.7302445836681588,1.61273024215886,1.863499023606165,1.7128160723407952,1.5842108193997664,1.600338902367181,1.577037913231696,1.6086214067517741,1.7739930020030525,1.6228637921825018,1.5943926928493029,1.6112248861831826,2.153943932432513,1.6399791164075783,1.6613593287364499,1.66468647099744,1.611318425962905,1.6047831804099235,1.6192794481925434,1.659390486551009,1.7186319591323382,,1.4617285507507236,,1.716701479444601,,1.610087492220362,,1.771194959746676,,1.6489778731996692,,1.751601098678385,,1.7287571848088978,,1.728461770420218,,1.6542527358626298,,1.6160433288650082,,1.5893537047395783,,1.8296350112571704,,1.6517207263366276,,1.5809310905074034,,1.734750805655737,
Cacturne,Splash,Grass Knot,40,2.263141208228195,1.9984839819245037,2.419774688485608,2.303419537610727,1.845710948189431,1.890281852402908,1.866111340868714,1.9360565970341623,2.1495908555807,2.0654906206143533,1.9300668467316713,1.969844065153724,,2.233401753503158,1.9686505948500146,2.015142398448572,1.9679786265609274,2.0300822246838037,1.9151224541989496,2.0038488277029627,2.001673222791021,,1.972437557380567,,2.0797817753484233,,1.9029330464644527,,2.0789627511086124,,1.920881777650397,,2.047061218858582,,2.0625309705936106,,2.0341819889076773,,1.995794391151279,,1.922591396625982,,1.8858738716401255,,2.135051378631683,,1.9735983130185626,,1.8621259296083508,,1.9915017904715446,
Cacturne,Sucker Punch,Dynamic Punch,40,2.5123906853887115,2.3559045245305823,3.018079344431238,2.912778447835478,2.4183145768286924,2.3994583882903626,2.3073505613593883,2.3361625368160377,2.457953102321792,2.3982778769451576,2.3760513206863183,2.3871054209912956,2.7267905609622423,2.4159849307716925,1.8910960497812992,1.9140701319688134,1.8949134092979292,1.9148994543161224,,,2.484955075211519,,3.758614796690467,,1.8975867788722791,,1.8655306157100189,,1.8469322309691496,,2.4279727948841394,,1.818627230630847,,2.5563761926188557,,2.5527511327070838,,2.8026113650978215,,1.9218461107455405,,,,2.6366814157242353,,,,2.3137138882096338,,1.765669166627146,
Cacturne,Sucker Punch,Return,40,2.513083580983685,2.399855266737477,3.101034598760128,2.9408828934622386,2.4357157005661914,2.430422795887741,2.354034587844734,2.3969563369304905,2.5034455131569318,2.395925316723086,2.362330858163353,2.3707916695698668,2.6624742016439997,2.357891618435261,2.8679804701770952,2.8637769605003345,2.8823606453065307,2.836777171113714,,,2.5097059803451587,,2.923511720879862,,2.6480609639280863,,2.891289931134152,,2.588443705954938,,2.4886278150488677,,2.577267952875476,,2.598285890850735,,2.629745823202269,,2.933800052265473,,3.051698638681626,,,,2.069439116915432,,2.0171151785873755,,2.334552851045608,,2.5108430234089947,
Cacturne,Poison Jab,Dynamic Punch,40,2.531007254476482,2.4363814260176895,2.781047430423261,2.6599952942872225,2.4808362759165363,2.491826196367824,2.4194808774876786,2.458873928117939,2.629149881008861,2.478544354600404,2.4418311003370117,2.445734892089771,2.959023503776075,2.4827612170711792,1.885726692101589,1.9166601697391727,1.8356217051928,1.8417287558834603,,,2.6326118257629583,,2.5493340581533777,,1.9565134595747595,,1.827032688641457,,1.9924911040556015,,2.5711132641045746,,1.9757049850377475,,2.6651509004523364,,2.5932608222670934,,2.564894925844689,,1.8409990043785038,,,,,,,,2.408989877829326,,1.9633631205769857,
Cacturne,Sucker Punch,Dark Pulse,40,2.5444179674794705,2.371483686532175,4.251796862325579,,2.415245543280066,2.404466370742301,2.3218258136744483,2.3499479090769824,2.5020253228331737,2.404048459697812,2.3946333177368504,2.408655497430839,2.7572916947422765,2.444188084076142,,,,,,,2.4979703396309865,,,,2.6446934756457985,,,,2.5855471432171924,,2.444282315222351,,2.5530874159826626,,2.5821043857556982,,2.5627494913792117,,,,,,,,1.6787439487198415,,1.5926463642908992,,2.324522367361396,,2.475724036280667,
Cacturne,Poison Jab,Dark Pulse,40,2.576624323390366,2.438794978869123,3.597226616884366,3.438755254182679,2.471933134135262,2.491909650396752,2.4362943804139587,2.4630413307458405,2.628350156868966,2.48095659979654,2.4500556753542955,2.462344109555603,2.9866529538845734,2.505371928555816,3.4584319453748473,3.384967733481239,3.3445302090099074,3.2143061440920033,,,2.6483553828332203,,2.5255685398254153,,2.680041032348687,,3.2279462944121766,,2.6443226238565467,,2.584315631924495,,2.626249323591706,,2.6683558600092283,,2.590559883656573,,3.356620831608279,,3.3087298073727536,,,,2.0614239397959913,,1.8705450511238884,,2.415528092671356,,2.5680127007928957,
Cacturne,Poison Jab,Return,40,2.599469745464843,2.474794684374644,2.7230407713778706,2.5943810185960445,2.525537096127436,2.5340261334563254,2.49079418488377,2.538566118059751,2.5729672978359988,2.4724029238075396,2.4286596474986486,2.449848646516866,2.780900994003296,2.430452459048732,2.635127320702035,2.608184441348812,2.5404112661362466,2.473056359730485,,,2.690294450395117,,2.033859645066804,,2.696064490232038,,2.530171274575108,,,,2.6706557279274716,,,,2.7321680276106477,,2.63576396178378,,2.6016771931679044,,2.576973723255133,,,,,,2.6006488097346936,,2.4613505158446767,,,
Cacturne,Sucker Punch,Payback,40,2.6294021375921823,2.3895799682700156,,,2.4569365757307384,2.4430243542559333,2.3380790235030036,2.3731508591637747,2.642754227302374,2.448627238844818,2.41615669414733,2.3971263103677707,3.063119996365661,2.4652048739067465,,,,,,,2.5559989787391886,,3.82005389696998,,,,,,2.658955144021455,,2.515039509345555,,2.595607775114054,,2.6634780990878677,,2.6478937564651144,,,,,,,,1.7000030931629295,,1.6402637108965428,,2.325069237282711,,2.563368841654867,
Thundurus,Thunder Shock,Return,40,1.7457857718167744,,,,1.7141108465816326,,1.709499051524854,,1.7192376827240055,,1.7874149571544038,,1.7603424494214095,,1.743267540786836,,1.7197022479378514,,1.7312947772077643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thundurus,Thunder Shock,Brick Break,40,2.166370704794556,,,,2.1351936510890925,,2.103650821416502,,2.1481670143820737,,2.1926447684446186,,2.17899387207621,,1.6192539331248803,,1.6044738974402069,,2.55268146409366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thundurus,Thunder Shock,Crunch,40,2.212021504575941,,,,2.1673200739733254,,2.1273879508658604,,2.2516357288487936,,2.2070612131091893,,2.2291495849234497,,2.6475416356621237,,2.613779176354762,,1.543209868366093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thundurus,Astonish,Return,40,2.402491633839778,,,,2.3356825686939664,,2.429111900442229,,2.3874480914047638,,2.465240071787635,,2.418001241971571,,2.7460982688854725,,2.704142017239165,,2.021459859610701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thundurus,Astonish,Crunch,40,2.628196921334275,,,,2.5783746769769595,,2.5898806291139675,,2.6768707402276575,,2.63684879838527,,2.6566657175708928,,4.263624457193897,,4.238607980582683,,1.6624184040911154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thundurus,Astonish,Brick Break,40,2.8737809481261207,,,,2.8292838964098834,,2.8876341841458704,,2.8862609181694734,,2.91161247398167,,2.8674365090580194,,2.1662150613724664,,2.149961945565295,,3.1305954304221193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jolteon,Thunder Shock,Return,40,1.900309657310722,,1.9188646895396066,,1.9885607316371747,,1.9573031147062905,,1.9662779641042332,,1.867442562975377,,,,2.0384138555703353,,1.9807628368372547,,1.9951391221475325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jolteon,Volt Switch,Return,40,1.972321394946207,,1.9534547518832726,,1.9317627351110631,,1.9687650171960591,,1.9834362089023299,,1.9213229506499303,,,,2.010307477623944,,2.039182296200093,,1.9582532135601196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xurkitree,Thunder Shock,Wild Charge,40,0.9234073103355044,0.9172985428808205,0.9026817322377869,0.9112418842352263,0.9064021812621081,0.9032726324610494,0.9030484262011239,0.9110998966681448,0.9519236368409052,0.9075727763960062,0.9001238511802306,0.8966935855906566,0.9007923297873567,0.9007974319715701,0.9637587551177491,0.9341775820347851,0.9489969396252621,0.9161480940627845,0.9260814316883601,0.9234991762549815,0.9269186136973702,0.9018005469544108,0.921508246263627,0.9090607836125243,0.9126842732783376,0.9277120369890467,0.9179901406799239,0.9198430936903774,0.9241276182925078,0.9000292187841767,0.9316601085815346,0.9135553934156829,0.9460511209907206,0.9011075380668094,0.9198129019620376,0.9307972444904898,0.9342911562964008,0.9125718194794519,0.9074283772157772,0.9088842520704447,0.903078307488531,0.9336164072584302,0.9118892368265593,0.9151286990819754,0.9208183164257858,0.9169095791731269,0.9174886270174106,0.9176263132480892,0.9243881984010891,0.9162917470453795,0.9231917140725718,0.9057373220184315
Kartana,Razor Leaf,Leaf Blade,40,0.9397387014507851,0.9624782159380773,1.0380996994078104,0.9785678629492949,0.9376667177756945,0.937980768043724,0.9398135313170807,0.9381281924163163,0.9443144834404531,0.9394375757962037,0.9474903441899164,0.9572688608936937,0.9770056771294571,0.946919973939982,0.9683420743217549,0.9601349800808231,0.9593116166361397,0.9462664716592203,0.9611708910985687,0.9733849761804187,0.9609218605850584,0.9428160044047788,0.9493809627684411,0.9430915828163419,0.9778660773029949,0.9864330232196538,0.94330003112589,0.9446619422063983,0.9731128573744527,0.958135933949158,0.9383454697920554,0.94711817182439,0.9485186211178752,0.9473694499126967,0.9757233165233596,0.9810212490821674,0.9570462587267111,0.9590318615731899,0.9886572177737845,0.9876290908172491,0.9634523292394136,0.9563621271832542,0.9576453490325997,0.9636900191167256,1.0096176447163172,0.9676504604598488,0.9807234642850138,0.9720874717499749,0.9434097644885437,0.9756865622216453,0.9578707352563682,0.961953787869989
Xurkitree,Thunder Shock,Zap Cannon,40,1.0949476679277335,1.0404150576463966,1.0931467347031496,1.0630075863720863,1.0763989952117707,1.0567218763626092,1.0484178278002454,1.0520739231982943,1.1829325159511286,1.0864939700396736,1.0452028084331675,1.0277682522463936,1.10594245322437,1.0315238857959694,1.2050630125346862,1.100125898372453,1.1821912271880668,1.073884957202796,1.1149322200172525,1.0736656611990056,1.0405358295247022,0.9922856695809927,1.0351007943323065,1.017074910380671,1.0603762462426312,1.049956052831623,1.0818226050271322,1.0761165246678446,1.0451288533319096,1.0167861244598027,1.09128395232494,1.0710719069893855,1.0430423542414982,1.0085968925232198,1.0463574975678402,1.043799223488468,1.06718775645748,1.0536071531865228,1.049777431298797,1.0262499067101356,1.076779094826403,1.07597361843595,1.065033259870605,1.0380476371163843,1.0556630359110237,1.0355696890972603,1.0693809765437086,1.0253060094899076,1.0632000777033135,1.0435616724229546,1.0691022499644314,1.0338146785501168
Rillaboom,Razor Leaf,Frenzy Plant,40,1.1295078997559238,1.161793650950418,1.1439529247812898,1.1486059855818656,1.1247107063750756,1.1183322823393003,1.1172842276282782,1.1561813950244748,1.125720066613863,1.1273230384404993,1.1425510585670535,1.1543347847055336,1.169290402991387,1.1444407672663912,1.1232017631694395,1.1327136811896419,1.1417428621937622,1.151060034094243,1.172644081259644,1.1678693564373215,1.1661650912882902,1.1515819671638794,1.1567503991288692,1.1640940162429922,1.1748822374360255,1.192113912788086,1.1287858642966966,1.1670378665328256,1.1914315755935359,1.1793844119201913,1.1361448417036883,1.1565737881148699,1.1435289015907009,1.1475840891899485,1.1854496606450733,1.186754418169565,1.1899207200467206,1.1794158214434753,1.1280487948110367,1.153835335494975,1.1091567590413947,1.14563929147228,1.1679471486578425,1.1742797088264472,1.1674140067084278,1.1729153558606906,1.1542826010129033,1.1547130224873643,1.1347330692407338,1.1716389423515907,1.1380164872431253,1.1760299151682478
Kartana,Air Slash,Leaf Blade,40,1.1365738542421224,1.1830295311522188,1.1082169158293789,1.0722500196071365,1.1346549975348157,1.1532230785450557,1.1578684841314397,1.1745263248316422,1.1547457083509562,1.165935390700496,1.1542380803981622,1.1790133492542534,1.1827810467442599,1.1650967132075294,1.1762924175737695,1.1903994870628052,1.166458781903964,1.1712428409559021,1.1524050089619615,1.1868589730342336,1.1671731657585702,1.169759221363161,1.155833975499036,1.172244946742091,1.1831811012759648,1.2144169387719843,1.1466389138487902,1.1657645013581515,1.18451580765356,1.1767998681653227,1.1568044204620695,1.1859996563744348,1.1698811621203888,1.1662333576819621,1.1977674125836297,1.2060783307265213,1.175656817427085,1.1913247610550162,1.0622420126318013,1.066301875158312,1.1589465886542605,1.1826438281698128,1.1492561095921512,1.1883082855513507,1.242550371112309,1.1932855222659764,1.1910960313949073,1.1991811975366378,1.1385589519636163,1.1939166824333751,1.1623318210115616,1.1866730424259602
Vikavolt,Spark,Wild Charge,40,1.1835240429782468,1.1817563812374694,1.1361132496916202,1.1448301280081057,1.1814785968868247,1.1794978635274782,1.1702687876120863,1.177768267609607,1.1996649318317774,1.1489976862845237,1.1763737041733056,1.168743126247522,1.173011384619814,1.1710898920911652,1.2263319903540948,1.1927436802489122,1.222595677814405,1.18347214346458,1.1666577939839238,1.1708943151260747,1.1693847732581157,1.1625081865972862,1.1548764351174523,1.1545153749876822,1.1519792509243936,1.179780631284337,1.1922969512623744,1.1719914827749018,1.1736038602728107,1.1727916946537225,1.174341694788058,1.1649756412400174,1.2030069469212166,1.1701471016451854,1.1676106642931081,1.1643984361641135,1.186168682700786,1.1816040729215376,1.1630952024406214,1.1641922779592873,1.1697249469207014,1.183108998604917,1.185614290056542,1.1811850600201474,1.2035499199886912,1.1811207077096275,1.2064048843289275,1.1746092268503745,1.2067124499881983,1.1889544055464227,1.1690283426714874,1.172790129685957
Zeraora,Spark,Wild Charge,40,1.1623094023866003,1.1558626847661058,1.141154561196504,1.1295515052981662,1.153149091645098,1.1523886370179357,1.1574325479722753,1.1525043470276106,1.159810247604159,1.162473167080523,1.16699219212269,1.1585333808774996,1.169056215963671,1.1553424357874005,1.159315172295684,1.165444587186075,1.156143121211244,1.1616902182428552,1.1302404541179776,1.15134382447494,1.1491382532839782,1.1589478101422073,1.1820403532623804,1.167342238004246,1.1180997811600977,1.1763071853080405,1.146619047430368,1.16063435334874,1.176557402013482,1.1748865667496495,1.1752250177092203,1.1692509214541822,1.1571249766105438,1.1716339831986913,1.2076266956476838,1.1967701093352379,1.1625947103438008,1.1780786602236402,1.1529379508998174,1.1639785914322673,1.1545878769026041,1.170437247351093,1.142241641343061,1.1701320002306452,1.1439514693196342,1.1657756530396355,1.1649033431898694,1.1681498737419933,1.1705193176988045,1.1751280394689323,1.1594790205815777,1.1779956142195038
Xurkitree,Charge Beam,Thunder,40,1.26862896429857,1.2264636510312246,1.1785400698556343,1.1825192308915207,1.2067194894996376,1.2149168397885106,1.1784045835573307,1.1967846258787345,1.2892479544604472,1.24378273643183,1.2003667050121698,1.2025686601061183,1.2384169243942291,1.217973838884062,1.2613305368995116,1.2235647651251544,1.2964032235535028,1.2353302906223507,1.240200315094768,1.2301836211549955,1.1942193882943568,1.16443144770726,1.1831330989905318,1.172831082109036,1.175160909971208,1.208069650323071,1.206373235080595,1.1823530610107273,1.2191848771169749,1.197946311340822,1.2085146484328309,1.1776352538366868,1.194734102130303,1.1508679086127878,1.1893725888424722,1.186647940157314,1.1931680681570942,1.179897450980564,1.1907951545795417,1.1821201023973167,1.2151630859678044,1.2137693877565596,1.2131639035370398,1.2066914733328091,1.2209679388432375,1.2025634645618262,1.2009575353018493,1.194970689523393,1.2145969338052123,1.1918752820003191,1.1929409426680246,1.1517605832157085
Vikavolt,Spark,Discharge,40,1.3057625875849128,1.3044608281938959,1.2441125048155202,1.2571158008084498,1.2915046370636059,1.2883119422715397,1.287680970091404,1.3003129447762807,1.3051447307196842,1.2657733635503143,1.2968396923431715,1.2939707712674757,1.2877407396229068,1.2884903964888372,1.344731360431357,1.3140559637915314,1.325769428910859,1.2988920223686937,1.2919686518045506,1.2940810221216663,1.2970420699557157,1.2673661466194182,1.2841057053665617,1.2643697212650735,1.2617116177813517,1.2903945743063474,1.3155511094890233,1.2963308001962184,1.2973695916486578,1.2891101099675242,1.3010099233364774,1.2870108988874656,1.3106763709643177,1.2833193173990953,1.2836746552971905,1.284429724197588,1.3081374745689607,1.3001916428986482,1.279401178615787,1.2839517688773434,1.295091370477121,1.287027359479169,1.3184627494677001,1.2992915618451806,1.323254951787751,1.295712551527402,1.3331241539985437,1.2954026581738793,1.3248515511975274,1.3019073665734002,1.2754175069499805,1.2839731496620057
Tapu Bulu,Bullet Seed,Grass Knot,40,1.2536536070372482,1.2595593985488966,1.2223890047903183,1.2251382568089757,1.2375732721652353,1.2199754378497105,1.206903386629974,1.226937733075408,1.2171321775515371,1.221289018095305,1.238649445367401,1.2491181786758951,1.2867222816758697,1.2638476869796604,1.1941061190331317,1.2169964032246297,1.2275311609328787,1.228601551451086,1.272876308206696,1.2510760763450024,1.2448517901951892,1.2178908051821078,1.237067407135909,1.2380568476478688,1.2681828240853543,1.2702601845133201,1.20078099421757,1.245128925699993,1.2904163424522375,1.262230169519608,1.2210317007897875,1.2452830601904306,1.2516800356624074,1.2388204998850496,1.2784275831093777,1.2746537067864292,1.3314706870293112,1.2611147105536433,1.1987308005132586,1.220779177394131,1.2255027501378377,1.2334145524341797,1.2435496314043082,1.2629203803053042,1.2660768637539432,1.2667046289454795,1.2342845246917502,1.2358451751909085,1.2168706085524017,1.2585057944039013,1.2222074779004548,1.258073353224718
Tsareena,Magical Leaf,Power Whip,40,1.2878773248967312,1.3033601101840324,1.2539158262995178,1.2579444407938665,1.2435599446598569,1.2349701022237782,1.224154526546772,1.2396966768637676,1.2893362143603877,1.2691359771796349,1.2344479081678588,1.24366521802689,1.2890483212328478,1.2853286642761292,1.2540226141750956,1.2586492334494639,1.2625963270444212,1.2534840323157925,1.2876118610022909,1.28326165001955,1.2754915447512531,1.2493261140882215,1.2597096466077864,1.2546722125587007,1.2901898645585486,1.313364042362047,1.216004210580073,1.2477175895553478,1.2900097777530088,1.2667414246369928,1.2180502530403325,1.248732456398263,1.2636613477397347,1.264735471695436,1.2836364619882321,1.2793116286876756,1.2680155964318294,1.2680935958387032,1.2553451723439302,1.2767584957637725,1.2312810127659028,1.2580158680836078,1.2558102645180995,1.276450002086721,1.278773176868102,1.27525060083407,1.275308454729571,1.2840610631608804,1.2249720318178743,1.26714242587632,1.2358935909625035,1.2623964385544002
Zeraora,Spark,Discharge,40,1.2797380753988203,1.2783136689433126,1.2610453083799478,1.2513944383562223,1.2659468176239186,1.2750592449533769,1.276812788577112,1.2777884420161603,1.2785005546591646,1.2770141236884218,1.2825100156582196,1.276092661940485,1.2881291976914773,1.274344435377725,1.282355743832842,1.2840280339983685,1.267166302095439,1.2710089861816065,1.2478466495742644,1.2789349427429015,1.2806366560705915,1.2726396070098949,1.2863963167413213,1.2968880682814912,1.2377043727212163,1.2985531987491794,1.2640526935928362,1.299702697571985,1.2949418178034717,1.301053008625874,1.290119580477394,1.2933666358849119,1.2732677064987612,1.2840140760133099,1.3179848685650215,1.330742708888643,1.2927222949580697,1.3016033213520881,1.273946747942414,1.2897240409855941,1.281785385288876,1.293845277970051,1.2623629108566758,1.2938382146632939,1.265326584958352,1.2916756035578711,1.2799034705567338,1.2948621847941963,1.2869204808990913,1.3030938616331031,1.261868037316483,1.2884531979982086
Decidueye,Razor Leaf,Frenzy Plant,40,1.3182587260849143,1.3125502234297295,1.2864374906708158,1.289558987805421,1.3050596157567353,1.2882087358097287,1.279514101265667,1.2996496942576092,1.4040138904836115,1.3116288880135694,1.2987416482947267,1.2970580453245277,1.3111306511130363,1.278709523619137,1.3590377042967443,1.328508437293712,1.3336481583649071,1.3005176756023706,1.3272195995602352,1.3088099385063805,1.3519413403263882,1.3184261368651913,1.3161399528987552,1.3033459851884854,1.3596349964591132,1.3464018390864172,1.3137737712794473,1.3304729850688954,1.3679789087147198,1.3355750691804258,1.2884559227563948,1.3133236815942297,1.3036849028468487,1.2995150954706267,1.3471402964817076,1.340181925738541,1.33612822206021,1.3286691430441369,1.2887304775243782,1.3145814574264945,1.3423647261630594,1.326258485324487,1.34097814714104,1.3398282222919926,1.3542928245045447,1.3396743270502343,1.3357126439574964,1.3208074861525523,1.2953841225277987,1.3297936828148393,1.3328322873546863,1.3353643385991572
Vikavolt,Charge Beam,Thunder,40,1.6330044529601642,1.5833545076061282,1.529964218611303,1.5550690277191919,1.5128780764901268,1.5027105769833788,1.527731204799589,1.5457167957633358,1.6051892805202643,1.5674827979217567,1.4996792847744853,1.4776727768206708,1.5440947669065475,1.5187892007679922,1.6488086897602792,1.5938578365430698,1.6306058271626032,1.5696598754443485,1.5613451213340055,1.5501850016408771,1.4899864873524702,1.4682496877619016,1.4979043977141737,1.500953516611007,1.4774958090013783,1.522781585812515,1.5319773759832869,1.5174408951199023,1.536810114038401,1.5256612742787088,1.530731437665014,1.525342056911095,1.5537416208197035,1.5254412981426964,1.491307415976769,1.495780327452499,1.5136105205299581,1.508398605824049,1.4794029990985673,1.5112462686394157,1.530746928780153,1.5353019643307422,1.5392451536630665,1.5315563120513824,1.546184882382853,1.5285499672920928,1.5535246803311304,1.5311522025692084,1.5727667008781145,1.5488196769305278,1.5011217076514145,1.5055858572189462
Tapu Bulu,Bullet Seed,Energy Ball,40,1.5530004864927083,1.5441222313703062,1.5254752434312684,1.5106229346266271,1.5257695532079307,1.4915555880373341,1.4741728104838197,1.4860053818594028,1.529810260382221,1.4982885581249055,1.5251200424427778,1.5182331422003204,1.63269347774777,1.5462334590834295,1.4804050222347627,1.4811410410676615,1.5424070863315722,1.5017005852610852,1.5909225335314965,1.5328384938981698,1.5248473950189438,1.4663337552493023,1.5096728143433424,1.4770081292014878,1.5995478862773362,1.5650593016827339,1.475523215056419,1.5106383285585743,1.5773108673710676,1.531194367345528,1.50074478953172,1.5077606486967359,1.547648463357452,1.5083837174846553,1.5680230208940347,1.5381383494352188,1.623611455705141,1.514209999616904,1.4769895380965383,1.486662094485357,1.5405123292891107,1.5033986443482006,1.5536817373549383,1.5372112527214015,1.5683876656616627,1.5374803184015533,1.5191299174223523,1.5041819998935022,1.4909329929377788,1.5087459447840847,1.502688756049475,1.51984368045177
Exeggutor (Alola),Bullet Seed,Solar Beam,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exeggutor (Alola),Bullet Seed,Seed Bomb,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exeggutor (Alola),Dragon Tail,Seed Bomb,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exeggutor (Alola),Dragon Tail,Solar Beam,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manectric,Thunder Fang,Wild Charge,40,,,,,,,,,,,,,,,,,,,,,,1.3156349326671994,,1.2966200942669228,,1.3712305855015374,,1.3650104374046872,,1.3112076759727727,,1.3495810845186387,,1.3157861082392408,,1.326579143574166,,1.3212896156789669,,1.3465408118299627,,1.3851284040410965,,1.352314085308996,,1.3479921239419352,,1.3551376956673093,,1.3325407398606484,,1.3270294829047329
Manectric,Charge Beam,Wild Charge,40,,,,,,,,,,,,,,,,,,,,,,1.386811086818744,,1.3986326818539725,,1.4444443004733767,,1.455190100663851,,1.415660225322867,,1.4592434565227697,,1.4059989708062506,,1.4145030596515757,,1.4157760788019105,,1.4526073161745452,,1.4896914602794307,,1.4516357165852156,,1.448430384627447,,1.446253790366429,,1.454344722664845,,1.4140272946963641
Manectric,Snarl,Wild Charge,40,,,,,,,,,,,,,,,,,,,,,,1.5007581404825248,,1.6380386802082867,,1.5680668212915931,,1.6718552619789477,,1.5193107704521063,,1.5609064706621187,,1.5369565542267212,,1.5295571174775446,,1.5270370529587416,,1.6799357984301326,,1.7429123298024096,,1.3940349563403363,,1.3909189294280642,,1.388231978575804,,1.5407205365186625,,1.5511559995297712
Manectric,Thunder Fang,Thunder,40,,,,,,,,,,,,,,,,,,,,,,1.5522519370386787,,1.5229136189616699,,1.6189107796897135,,1.633014685560902,,1.5796909931049035,,1.5916725224273718,,1.558839525930837,,1.5782225982961005,,1.5537030550567026,,1.6052625807834786,,1.6436931618088786,,1.6204049182912246,,1.6250070045904035,,1.618275334825512,,1.602254040812432,,1.5748253006239235
Manectric,Splash,Wild Charge,40,,,,,,,,,,,,,,,,,,,,,,1.9426224089107347,,1.9684592016411995,,2.0266102803980512,,2.049910246792925,,1.9592076867007302,,2.0489833972347666,,1.9819214826911138,,2.0000146161699477,,2.0023467902281933,,2.0354141356488697,,2.1285179049900815,,2.0082899607475206,,2.0118924195988215,,2.0367548269100713,,2.011427501827971,,1.9956140094195212
Manectric,Charge Beam,Thunder,40,,,,,,,,,,,,,,,,,,,,,,1.7193216798008286,,1.7617202459162429,,1.7642918998997963,,1.8480600885867846,,1.8025620746439364,,1.8434212841762616,,1.7555716168953823,,1.7932141994990896,,1.7766600984760685,,1.8226323205220725,,1.881766847605965,,1.8527594786175963,,1.8500671325889813,,1.8305342610003488,,1.8612260583643467,,1.7717101821842305
Manectric,Snarl,Thunder,40,,,,,,,,,,,,,,,,,,,,,,1.9688051351812272,,2.260930321876174,,2.0541510098130678,,2.372329150258785,,2.002980435185555,,2.042262659366211,,2.018128180662298,,1.9830637881089128,,1.992568893622509,,2.3601891459829316,,2.4030197504566337,,1.6922820663052336,,1.6807996633634725,,1.690488032204395,,2.0413533447461925,,2.034252119143145
