Attacker,Fast Move,Charged Move,Level,"Arceus (Dragon), Tier 5","Arceus (Dragon), Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Giratina, Tier 5","Giratina, Tier 5","Giratina (Origin), Tier 5","Giratina (Origin), Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Palkia, Tier 5","Palkia, Tier 5","Reshiram, Tier 5","Reshiram, Tier 5","Zekrom, Tier 5","Zekrom, Tier 5","Mega Ampharos, Mega Tier","Mega Ampharos, Mega Tier","Mega Charizard X, Mega Tier","Mega Charizard X, Mega Tier","Mega Latias, Mega Tier","Mega Latias, Mega Tier","Mega Latios, Mega Tier","Mega Latios, Mega Tier","Druddigon, Tier 3","Druddigon, Tier 3"
(Boss weights),,,,6.25,0.0,2.083333333333333,0.0,2.083333333333333,0.0,2.083333333333333,0.0,3.125,0.0,3.125,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,8.75,0.0,8.75,0.0,8.75,0.0,8.75,0.0,15.0,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Reshiram,Dragon Breath,Draco Meteor,40,1.1528158797629495,1.1922139194644674,1.0645800677277564,1.1308003304884209,1.066798207825907,1.1690732442645393,1.2407680335218054,1.22071594535623,1.2827133256147083,1.2851478381253738,1.2031509676441106,1.2244171082815787,1.1472126099000577,1.196516353727481,1.20527576021861,1.2291300646960712,1.383811600923283,1.30161277051587,1.2589534608010036,1.2022985599301668,1.0537887432261432,1.1774380067270411,1.1906867918725668,1.201058497425329,1.1935475407817864,1.197485487528247,1.1235229982144446,1.2300475669983963,1.1586541585784194,1.199060585275148,1.2947223839478676,1.3077880051934856
Reshiram,Fire Fang,Draco Meteor,40,1.596630981568391,1.6570675513933864,1.2499734764929968,1.3237032331502052,1.2675965217897462,1.3696491456728135,1.4990661148220115,1.4005989543602155,1.7010488808697823,1.7446337395913352,1.6072207703815764,1.6879378959325246,1.5891521129172368,1.6749793111915903,1.6827771248471437,1.7163519215181378,2.3240927583129345,1.9686390887908758,2.484193030394977,1.9369101711097596,1.4260559205037282,1.638632032387518,1.636331548036226,1.644721810734988,1.8935341984794904,1.8960688512371051,1.4833407264986183,1.646222555736667,1.6259686383535952,1.6468003232406572,1.7495117322905032,1.7276140393808208
Rayquaza,Dragon Tail,Outrage,40,1.1153200506307077,1.137880391684654,1.2903617138595727,1.1271020488316192,1.141795850759891,1.1611118786524437,1.160406916232715,1.161084872907228,1.1643735976539888,1.1595197296100639,1.0951233450180458,1.1465267471949645,1.0896421927034745,1.1414559081556346,1.1284263859478942,1.1491411101832492,1.1701975069978592,1.141811470489334,1.1436952970496188,1.1565891610627197,1.0998166375807212,1.156062804290487,1.096190691928123,1.1383529552451925,1.1496920824256123,1.1461753090234459,1.157145570161162,1.1231326592397295,1.1533347933625968,1.1263239270350986,1.1630468717045845,1.1552711994212566
Rayquaza,Air Slash,Outrage,40,1.316896275959118,1.3927437853287985,1.7072360960885988,1.3589613443261384,1.3755692765997762,1.4161727145153085,1.467584276311138,1.4051316038216504,1.3806819046130054,1.400954234033528,1.284046249002087,1.38145078232522,1.2920622236333508,1.3856120625930155,1.3098478815470855,1.3706951379971102,1.377296124249463,1.3605593357689318,1.3751665227138743,1.3780832994196248,1.4208125292833749,1.5261790398067354,1.4122374714143835,1.51823141286323,1.3409432724526449,1.3597310808536935,1.4171697878480285,1.3532090218153647,1.369720523896982,1.373010989651115,1.3889238870754441,1.390752595512431
Rayquaza,Splash,Outrage,40,1.5011580958356603,1.6382885672807854,,1.6944261025795184,1.6118883337367356,1.7188384513896902,1.904155346480574,1.671436353209403,1.5839723207004233,1.6313772391456574,1.5052178193242662,1.6668832481779592,1.501810753393992,1.6319422848923084,1.5254647157478238,1.6075338262670416,1.5805332534069678,1.606464151645246,1.6065148495400055,1.6348602379620967,1.505258445958762,1.657238317531015,1.4934954948200119,1.6110041411008345,1.549564943162166,1.6018704724509412,1.6526342558367124,1.6181963334130922,1.6122181487022562,1.6333732697781802,1.608288257924532,1.628513056769426
Dragonite,Dragon Tail,Draco Meteor,40,1.1884335490095095,1.2183489749817809,1.2379561476356453,1.1974636990399352,1.216543107900809,1.2152754618927615,1.3848105284355672,1.2412759865439127,1.261174664176424,1.2447088986605306,1.2262830501175261,1.2526846071706952,1.1997389511311525,1.2575148593044052,1.2260146405222154,1.243031943235053,1.295630479437738,1.246667719641068,1.2810509796392462,1.2370916966555205,1.0966902145679573,1.2299979600741326,1.1972273037565793,1.2153903671866466,1.2422058004977954,1.2294492361505895,1.1334663593131178,1.194100538877961,1.222833562835654,1.2215634637308175,1.2489711852035912,1.2543676001443804
Dragonite,Dragon Tail,Dragon Claw,40,1.1729025522083836,1.2346577962730128,1.1485104602781517,1.1689100870799616,1.141478098417339,1.2259574707456509,1.2101753412470835,1.2478713814885867,1.2587638966943722,1.2799464525103104,1.2152546348615234,1.2662380626316077,1.201307652379585,1.2806677953371268,1.2252273345883915,1.2685010029186272,1.232377810392108,1.2579320588110015,1.2279701971310266,1.2646939852273438,1.103699185426517,1.258994995109952,1.1820505839122468,1.2447216551422458,1.2417089774030985,1.2511362849019083,1.126461094716496,1.2028325636414086,1.2210302482001343,1.220426873304262,1.261275383538647,1.2785827099561207
Dragonite,Dragon Tail,Outrage,40,1.158639680547798,1.2073661161648879,1.2207027869740055,1.166254654311985,1.1930840808315148,1.2015277613053565,1.2460128966168884,1.2378518962686391,1.2234257807713274,1.2224867009400424,1.1890355993733062,1.2271032400487516,1.1820265133610288,1.2391608003534436,1.1868994818727021,1.206493426505536,1.2120673426194086,1.2197135856715053,1.2048442691542132,1.2128937681332181,1.0962008759233315,1.2168149325328026,1.1510188944120348,1.2011888619157758,1.2081804717104987,1.2068039059410223,1.1232483883096707,1.1750400385838269,1.1990065115005895,1.1856180530438174,1.2259239790761385,1.2296525554124234
Dragonite,Dragon Breath,Dragon Claw,40,1.2489633580200346,1.3244692931014321,1.2070861242815045,1.226621935439828,1.2095053387227253,1.2944052218680795,1.2563891661380069,1.2880089551214982,1.3128032870356676,1.3486363288645846,1.2701482910573614,1.3346080736116626,1.2537392775537215,1.3460397507741402,1.2958175740578062,1.3605771664756783,1.3078918277214315,1.3466729315997883,1.306037911710487,1.3366178289634654,1.1644217451118744,1.3347185688926826,1.2122907083853047,1.2858214779999086,1.3180177025688233,1.3368967732800963,1.177675181335372,1.2762674266602112,1.2956281078565306,1.312897587977338,1.3278514589954558,1.3531235835389384
Dragonite,Dragon Breath,Outrage,40,1.2255814733681025,1.265853352410118,1.2689988416365987,1.1709342152406836,1.2335251770521651,1.238165595898576,1.2985653283500374,1.2282248792203323,1.2603821141990308,1.2772127415387504,1.2327603273467589,1.2645002002698094,1.2199644413447184,1.2771772988066608,1.2313371128228348,1.2781263022866933,1.2739856280328568,1.2712005416204006,1.270557175979273,1.262957574793444,1.1351163487921878,1.2574152311745594,1.1735758766096849,1.227582836742426,1.266711233625423,1.262042801732244,1.160729128586766,1.2173047938832053,1.2569063528880444,1.234266174924193,1.2731700514825428,1.269528898732972
