Attacker,Fast Move,Charged Move,Level,Arceus (Ice),Arceus (Ice),Arceus (Steel),Arceus (Steel),Glastrier,Glastrier,Melmetal,Melmetal,Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Cobalion,Cobalion,Regice,Regice,Registeel,Registeel,Mega Lucario,Mega Lucario,Mega Aggron,Mega Aggron,Mega Glalie,Mega Glalie,Mega Steelix,Mega Steelix,Cryogonal,Cryogonal,Excadrill,Excadrill,Glaceon,Glaceon,Glalie,Glalie,Piloswine,Piloswine,Stunfisk (Galarian),Stunfisk (Galarian)
Shadow Charizard,Fire Spin,Blast Burn,45,1.197330143078472,1.207549237794117,1.1899691201548601,1.1941411255012213,1.1932277915730172,1.2150715989282244,1.271468712184917,1.2566195623192569,1.20343963976119,1.2432581711471649,1.194569239835003,1.2134967589864467,1.4373414735995544,1.2775333292090691,1.1728446590424806,1.2015766804768997,1.1849867168492594,1.2174319674137324,1.1868803498362122,1.200597319982096,1.387111440483389,1.2987515174110125,1.2244776947920872,1.2319001480285292,1.1498588322313528,1.1892369724249285,1.190211402512418,1.2295590553850848,1.2512717348128597,1.1918813987160923,1.2493037334216912,1.2453455362819812,1.2041069829901523,1.2433974932855865,1.2006948156066275,1.225509658700466,1.2137686181271523,1.2289083407077288
Keldeo,Low Kick,Sacred Sword,50,1.1272398970102506,1.198089933978072,1.1167110660459971,1.1822556113748444,1.1378370155171906,1.2438819476478844,1.10662172725056,1.2008965094470767,1.1735504435524673,1.2656381758693964,1.1238860734629739,1.201822824592418,1.1456625630239103,1.2208060100838256,1.1548474210890898,1.227671137784534,1.1574365383088012,1.2361596701175304,1.0876689864969242,1.1731990287608778,1.112152018440806,1.183787457887582,1.1152393688601803,1.2079969048580272,1.1079008848918916,1.1878929470237505,1.1989336633495515,1.2796633156458201,1.101098112578963,1.1737247414886665,1.1678920361431757,1.252679842746738,1.1785026857654433,1.2687220232766339,1.1856277519024714,1.264806189712657,1.2081178766005993,1.2764811872954271
Shadow Hariyama,Counter,Dynamic Punch,40,1.2714831341281725,1.3086070004792814,1.260666451583168,1.2952260681200165,1.22542031858824,1.3079117061057839,1.2321376075913888,1.3183816340901477,1.2635089553749113,1.365732620501231,1.2920714987232371,1.3172437635042231,1.2354310371493087,1.3112143895573634,1.263172077261151,1.3070133430576119,1.258414418094261,1.328177298860356,1.2119258024011628,1.2862580755047313,1.2230196365488049,1.3022910064697404,1.2388179585520118,1.308176894092316,1.2025148609520029,1.2807660042756244,1.2549460050519605,1.3274958889246784,1.1917276373281396,1.2544110298168958,1.2558768481288116,1.3296855830281105,1.2690241718889883,1.366192927484333,1.2504772085210354,1.3277977144893234,1.2583241819752007,1.3248643288944804
Shadow Alakazam,Counter,Focus Blast,45,1.5027215004105472,1.372325405995846,1.4858717795086878,1.3819532654284001,1.4056925809965943,1.3472886629305014,1.3207858472743517,1.3336500969661338,1.353100650993355,1.367220966708267,1.4379116087212729,1.3901378903948143,1.3139538030870117,1.3207588388134492,1.337688755717041,1.3157154008262708,1.322928873955137,1.3330577829213854,1.6380391426794632,1.3849822348798426,1.4626728257261976,1.432820179406857,1.6483355201184229,1.4156742026645135,1.4401908696475767,1.3606317821416007,1.3806940512316273,1.374235000932409,1.4022141639865202,1.3377368886383147,1.3910465938907646,1.3948346422846498,1.3774731423455686,1.4061436884512086,1.3593698302410222,1.3441373342495737,1.3571801733604854,1.3587901016067299
Mega Alakazam,Counter,Fire Punch or Focus Blast,35,1.310113578522253,1.2862591165619555,1.3173507858229248,1.283023459464442,1.307218781591371,1.280573576609381,1.2847841791378105,1.2960144754143565,1.2869598947616958,1.2952364488818429,1.3485822038892163,1.3342918876448635,1.3048926660274056,1.2975443873921246,1.2371113034487504,1.2298239524799106,1.282345160929545,1.3006530544763164,1.3735864153275157,1.293970157766942,1.271531323455196,1.290094886495383,1.33341744045216,1.3220335419189881,1.2439158044758751,1.2549634226644177,1.281655279976944,1.3012189126417686,1.2806529733608396,1.2678010840177851,1.3289333464676225,1.3353721332175128,1.3258728737690242,1.3293307967770815,1.269234684787865,1.2921534193581228,1.2693804441696075,1.2884330387129104
Pheromosa,Low Kick,Close Combat or Focus Blast,40,1.6294579662868331,1.3846381054641783,1.5733843388486888,1.3823865050467805,1.3951828987015027,1.3778853043077135,1.5383363756315334,1.326487592664757,1.3653447229061961,1.3705644753263397,1.5564564918483599,1.4018212531919072,1.3726279037396765,1.3682394289956386,1.5339053669523905,1.2919656076868664,1.3883023987473802,1.3722718483111191,1.5643643968771412,1.3842771754845302,1.497888127594375,1.3995189750258015,1.4592080473691293,1.4233700040371418,1.304412733062123,1.3015217254038842,1.3642158441690542,1.3977656093715565,1.306433632740925,1.2897120818010583,1.400798803585661,1.384348106423563,1.3614368845120859,1.4126342882721576,1.368315899315365,1.382517624901377,1.3125393153007154,1.3153966713933876
Zapdos (Galarian),Counter,Close Combat,35,1.563389596251946,1.5951744918317834,1.556464027284878,1.579700419412822,1.5127700295425324,1.5878512469696822,1.5402415151784474,1.5798346904034293,1.5610095456538602,1.6132281512463318,1.549639756432921,1.5920597132194068,1.4739088743852269,1.533445203996412,1.4660316595565202,1.4995584533124788,1.5430482683277493,1.6001569016463326,1.4582846459453143,1.5005921706719056,1.4987610651656988,1.546342982627633,1.5433109608397255,1.6019252119499394,1.4560801363870073,1.5193823797367876,1.571710715920457,1.6127790869174563,1.420370821213946,1.487820816729239,1.594660911459966,1.6554846104937,1.5345232766338406,1.6037936436884512,1.5316866457967475,1.5896133974701587,1.4879895088119584,1.5507660486390242
Shadow Mewtwo,Confusion or Psycho Cut,Flamethrower,30,1.4816535576419358,1.5324480871474588,1.6413568696133105,1.6772733557634696,1.489236114519026,1.5569091248147457,1.6096583282628365,1.7107196003764702,1.6615635646102471,1.7701242958815393,1.4960282852091926,1.5637446474170105,1.4736478857991278,1.5457754647530082,1.486741151126127,1.5315621672839532,1.6361599942944856,1.7204362773463522,1.5714347958694608,1.5138457029006458,1.539120788189882,1.617289619772036,1.4933176894092317,1.5636943210873369,1.530921604531801,1.5891995381603992,1.4914981267058842,1.587002220828318,1.6032828056327921,1.6735902002742078,1.5179686030787969,1.574135599595225,1.5393800358102059,1.6175805729632946,1.4893996080527347,1.553141940902497,1.6900728199332573,1.7620824581791819
Shadow Charizard,Fire Spin,Blast Burn,30,1.443439233447147,1.3840306442803907,1.4287431442134857,1.3673521685025578,1.3311708068742822,1.372443982058555,1.5959622891755716,1.4186772041849263,1.3469364522548655,1.4050156845549295,1.3736350422313888,1.3941449616971127,1.558041928299669,1.408275078103251,1.3181977279750214,1.333639413790023,1.33191505915419,1.3518211450902589,1.3473407773873982,1.3762204855403408,1.6517865667638112,1.4933915897920862,1.3664463060153411,1.4053458484726147,1.3079689881924212,1.3432834811159922,1.377498431857867,1.3912896061844136,1.4964186410055995,1.3563035762336149,1.4059122211575488,1.4279240957489678,1.3660362578334826,1.4090644583706358,1.3865007253569521,1.3879768903820213,1.3676073907434456,1.393643448871451
Lucario,Counter,Aura Sphere,30,1.343637262077703,1.396989816201194,1.3382163432732634,1.382688850993225,1.312532511507847,1.4016979595041565,1.344048603847197,1.4003550487337433,1.3742157722535162,1.444471616015111,1.4690111962286387,1.4636102926733452,1.4308863559033684,1.4035811500510378,1.499641929800667,1.3715641004236798,1.3936075546197648,1.4383293864789033,1.588162131972859,1.4523391731792237,1.318529009261322,1.3774659349752438,1.3358186986946576,1.3872459965011439,1.3391566917130462,1.3743426452945582,1.3528235034838185,1.4111753437198027,1.3874274438450598,1.368296964493933,1.354384016764129,1.4153420437550932,1.361895702775291,1.431971799462847,1.4148659998472934,1.4407625155888117,1.4291045173946884,1.427771795336539
Mega Houndoom,Fire Fang,Flamethrower,45,1.2001631042566867,1.24087972268561,1.1891302945107618,1.226462644605245,1.1988418542110377,1.2484399383630886,1.1887592208981959,1.235191300166586,1.230276250548116,1.2865930785576953,1.2419579650363386,1.2827106658809664,1.2047871106436945,1.2285351387299328,1.1891635802333533,1.2188899970270655,1.211694035306112,1.2475609736330673,1.2371098902404727,1.2547324141154474,1.2011598248668995,1.2359500243240416,1.1828530816848337,1.2422999932714305,1.189110688159046,1.2175133726017264,1.227643379049621,1.2741112448505603,1.2006201709314097,1.20999961559653,1.2153187602425068,1.271620084716165,1.2030774395702775,1.26341763652641,1.2153546613728334,1.2585070372349902,1.2095785399763308,1.2516392481315237
Shadow Moltres,Fire Spin,Overheat,45,1.1541762491965535,1.1571336748986636,1.1420030418951927,1.1372410932386965,1.119803311511773,1.1559217564556814,1.135877925220994,1.186740137598476,1.1233598677775154,1.1885224474651734,1.1318232174425458,1.1718703594578668,1.1297557920133625,1.164152154412447,1.1042592047473225,1.1157643151193493,1.1060950130238092,1.1433688793364747,1.124078570551491,1.1506292060951988,1.297692171295812,1.2280367543089925,1.0988468914008882,1.1609936415018167,1.0693751634930229,1.1108054230071893,1.124569820468917,1.1626799125230982,1.0573273708084006,1.1007777763540612,1.184736761979815,1.2195545684938254,1.1216987466427932,1.1910362578334825,1.1424881016008757,1.1638288666615766,1.1539986992632714,1.1829347605898095
Shadow Blaziken,Fire Spin,Blaze Kick,40,1.3131211615698133,1.2587301646275537,1.2964981333824952,1.2455509978338017,1.144658297918282,1.2158901528163555,1.160530795578071,1.2223840223512066,1.2135376260667183,1.274703174014234,1.1991938715380082,1.258973089766254,1.185137569983606,1.2232593027931578,1.2878093572749758,1.2542342350258557,1.1991516289081559,1.2433580194084743,1.17764327955605,1.2166512847528923,1.157810745315917,1.195222030761956,1.179791582559548,1.2404874848607186,1.1609447867148952,1.1896361209081643,1.2020021360638784,1.2457999220167155,1.1837832989505785,1.2054124008559384,1.180912892797335,1.2411186832278114,1.2008169203222918,1.2721799462846912,1.2162581761726605,1.2497518515690618,1.264913159830691,1.2749458914844392
Shadow Blaziken,Counter,Overheat,40,1.5089242921312414,1.2570341032795473,1.5062967230492694,1.2440337373830483,1.1785900065759125,1.2266864271202411,1.2276208772301642,1.249359066390467,1.2114294869632676,1.2374692211690894,1.252024356707916,1.2542133176193282,1.2262848371431223,1.2435448823038138,1.4265443516439742,1.238638776732613,1.2517347519316895,1.2507541166421103,1.2772665877105769,1.3109074272857986,1.253072331061574,1.235072540202867,1.2038462185439376,1.2254449266585925,1.2537231307673573,1.200032022081706,1.1920762201841084,1.236009629240341,1.231603090603898,1.2300270363773818,1.2115486222429186,1.2441455398640602,1.2295658012533572,1.2693934646374216,1.2899518973810797,1.275673818431702,1.3120275500303862,1.2594756538334417
Shadow Blaziken,Fire Spin,Overheat,40,1.6173607576359914,1.3295207558526192,1.61118864359128,1.3145651472553808,1.206057691363962,1.2595169157988753,1.2342318937679604,1.2545138817674044,1.239581576550747,1.2766468782676155,1.2841154979375369,1.2921060695344726,1.2495224875498778,1.2626569798014167,1.4752082152580375,1.2712736901147728,1.2461686336103426,1.2456353625189847,1.354125983815322,1.3593703581939387,1.2967396691021018,1.2714926777814655,1.2588396581886692,1.2864352038756561,1.2949323928162293,1.2349067751508647,1.21109736043535,1.2600912065370335,1.276117012416232,1.285188934305447,1.2488917943528528,1.2869513822346799,1.2474037600716203,1.2839189794091317,1.298745259728691,1.2780280471354764,1.3465610440011515,1.2887528920068663
Shadow Blaziken,Counter,Blaze Kick,40,1.251815881673249,1.2158902185745653,1.238123242844633,1.2008996635479559,1.1257314475840883,1.199689852483634,1.157073742117941,1.2242914407731769,1.179883293419233,1.2432623874253719,1.1752190139461796,1.2308670202317815,1.1723278635281016,1.2133881344922515,1.263554311707065,1.2334983824599788,1.2080162477489962,1.2533053892797923,1.1391620884017728,1.1842423186155484,1.1351120951865676,1.1802229628046756,1.1429526645135244,1.196777015206567,1.139395278772517,1.1701319670578472,1.1865580551646973,1.2289148456439554,1.1505964660507668,1.1733275245697885,1.1631368264572344,1.2236112728021709,1.1867949865711729,1.256222023276634,1.2091827645007762,1.2395077753175028,1.2281620163551652,1.2483127738743829
Shadow Blaziken,Fire Spin,Blast Burn,40,1.3927933182985142,1.2187956292517639,1.3474305203484351,1.2069336774669308,1.1470040338806717,1.1653871445817425,1.170049656687473,1.1710774293377817,1.1622718993490064,1.1955341181232502,1.186110390885877,1.2043134944018856,1.1545555074391414,1.169404791363791,1.2800797273687186,1.19044501755203,1.1573506314156645,1.175105803253764,1.2870185890097876,1.241431349792641,1.1906504748871318,1.194692357704356,1.159711007939712,1.1834796797200915,1.155658888157242,1.1464536672048782,1.170554528964009,1.1767253801685116,1.2276565483131094,1.192368309777943,1.1465697117322038,1.1883367512335785,1.1484444941808416,1.201812891674127,1.2016619582092591,1.1979206434043421,1.228641796296099,1.2186303881952811
Shadow Blaziken,Counter,Blast Burn,40,1.3376722533280327,1.1774771226774363,1.3046430382080472,1.1598137991427386,1.126657964215258,1.1453531853916594,1.1468803339919282,1.1641747167928025,1.1338879144601477,1.1677867912436333,1.1588780200353566,1.1815989000196425,1.1387453988678895,1.1587622567973026,1.2549181564290808,1.1696081145004518,1.1664648665120343,1.1810641756909426,1.2480501938913335,1.2163581701728186,1.1650943181766515,1.1662718745879688,1.13403310456197,1.1472967972009152,1.14033339046193,1.1314483903266253,1.147939376472782,1.163849661789886,1.2011198954422562,1.1601809258998246,1.1281488711973995,1.1629487673171126,1.137958818263205,1.1934646374216653,1.1950192155964472,1.1933012649207198,1.205089932084484,1.1825615984135276
Lucario,Counter,Aura Sphere,45,1.2019557649366717,1.250500644614773,1.1850670599622066,1.2374337466009124,1.2039475104772934,1.2563506629893901,1.173957927408714,1.2288423542602431,1.2218226127432792,1.2940052956454278,1.3112095855431154,1.29615556865056,1.186747966222277,1.244896223205172,1.1968448816464492,1.2196207824236591,1.2237323465386816,1.28128672317071,1.407112385675411,1.2769100970050817,1.1697954507222192,1.220205322191255,1.2038378078320549,1.2542894630601535,1.1966854890358196,1.2188799487646693,1.227414515062641,1.2813162222184549,1.180592750150558,1.2040029214663712,1.2171277100665372,1.2766349951194176,1.220803491495076,1.2840644583706358,1.2016365070881374,1.248097528696139,1.203394709626518,1.2623649952555096
Machamp,Counter,Dynamic Punch,45,1.339557797981074,1.417769818653331,1.3244024519518827,1.4068580909803199,1.3232483044941945,1.4146731182584629,1.3371003138010953,1.4113141588786113,1.3687303943063378,1.448135561776908,1.369976821842467,1.4342722451384797,1.3085387732376503,1.3782420582139874,1.3142347915357768,1.361021166415505,1.369817828760007,1.4394883190938605,1.3031478129295218,1.3544230594032345,1.312334335089817,1.373151259166981,1.3208055779841206,1.4067672587807831,1.2876146706235736,1.358293268146598,1.359401223998508,1.4282299489718073,1.2696462206732186,1.3434901272375486,1.3627481709009823,1.4348375079477376,1.3457139659803043,1.4375559534467324,1.3559339288895678,1.4196380850576469,1.3551437740556331,1.4087511861226318
Shadow Machamp,Counter,Dynamic Punch,50,1.106495190467875,1.1492385371888851,1.09989399456146,1.1401041618656957,1.0924514413026196,1.149318362499632,1.082862175915481,1.1353401107077503,1.0998288191047998,1.163102506155766,1.1345118837163621,1.1450858377528972,1.0719883850412941,1.1247196789260416,1.086008608329782,1.1202852259796405,1.0994412810176564,1.1539370480770634,1.0498572056674098,1.1170042105513325,1.0691825758023523,1.1209973311752375,1.060018839994617,1.1144361458753869,1.0491358548091754,1.1122351413030733,1.087112414599827,1.1435146727244987,1.0408877157464476,1.0930384531604371,1.0877877976483652,1.1467219500837311,1.0975156669650852,1.1672896150402865,1.0922857651879565,1.1384668244636176,1.1107971810263026,1.1508001663237128
Reshiram,Fire Fang,Fusion Flare,50,1.0850631425248836,1.1051818110888603,1.073923583905609,1.0976134949532192,1.0730259993914828,1.1141166193920717,1.0586354551938981,1.099760034456591,1.0758255472729112,1.125168651128276,1.087877430760165,1.1330567668434492,1.0404938290698753,1.087079325064184,1.072384366757612,1.0768759876220477,1.0611397737569028,1.1021027738201175,1.0581436340662518,1.0954602889159117,1.0751408293816236,1.10137442201985,1.0589128313820482,1.1062567285695062,1.0423841567368146,1.0821885063277439,1.072931323851018,1.1298421686134232,1.0784054944069295,1.1085042860986891,1.0948176274100674,1.1472144859269078,1.0898948075201433,1.1549574753804834,1.079331144536917,1.1075691634216487,1.1026302602539635,1.1292953631934153
Reshiram,Fire Fang,Overheat,50,1.1428685543166897,1.1874788688961297,1.1440881227819513,1.181319076370005,1.1684866567864398,1.193587013063492,1.127327586010442,1.171742860854168,1.1496863089014064,1.1995016359159443,1.1615384010999803,1.208879984285995,1.1177638497943023,1.1525584614432862,1.141857307927191,1.1580004891429307,1.128541025404127,1.1767023747582857,1.1452263914030285,1.1631578738894324,1.1547850163903122,1.180698077264068,1.1428769681065805,1.1866547234557934,1.1191266540983755,1.1509863703195895,1.1527624730872903,1.1991879566684185,1.157759184039568,1.1694322360749843,1.1592413156975652,1.2151038355109387,1.1781222023276634,1.2404095792300807,1.1591840370568325,1.1998549286096054,1.183563805401256,1.208597656541533
Reshiram,Dragon Breath,Fusion Flare,50,1.4372587338799865,1.5018372449870518,1.546014656404111,1.6153459003548878,1.379072894481141,1.453092151108581,1.6766435816623484,1.7778712116550788,1.7283030323472863,1.8436477552534825,1.6336216853270478,1.7454598310744451,1.5642012589316094,1.669594249744811,1.4766009545609649,1.4876901469918442,1.6545732453517077,1.7573778622799041,1.5740015289490257,1.6505163173717918,1.5886304427884899,1.63167945004933,1.4429879895034317,1.503305409769883,1.5522839411515321,1.6186756388630807,1.384084628816519,1.4746300032210486,1.6018476993452329,1.6278461873582513,1.4332524380524236,1.531070056507294,1.4568934646374216,1.5885519247985675,1.4724364358249982,1.5616298897966456,1.6323499621506936,1.6891559071572506
Reshiram,Dragon Breath,Overheat,50,1.5002136331380291,1.5714872210229869,1.6205632115038944,1.6887053509701802,1.4760077340583195,1.5187354618351703,1.71467572747389,1.8328308413834595,1.7582512564509054,1.8914729989543628,1.6619917501473187,1.7836684344922413,1.613286445606112,1.6980014074051162,1.5248430422347095,1.559687885804164,1.7140759254846851,1.819535551676238,1.6410653526683328,1.691350347182337,1.6209950579003123,1.6861107448612618,1.5274609742968646,1.5685388911317455,1.6119555118571907,1.670159027971965,1.4614406564158204,1.52783664197196,1.6854554540445652,1.717514703432723,1.4824433359900417,1.5968280691699428,1.5028536257833482,1.6257833482542525,1.5114530045048484,1.5757425364587312,1.707856663077202,1.7524655358075762
Shadow Typhlosion,Ember or Incinerate,Blast Burn,45,1.2323251087671323,1.269774069023938,1.2294234225929852,1.254726459879246,1.2312758251788747,1.2636685740084603,1.2258000560603264,1.2755706872859283,1.199893749789186,1.2761830876648563,1.2318538597525044,1.282578668238067,1.2270098054378422,1.2687969779454977,1.2291297795781362,1.2636128916987757,1.2010594102897008,1.2576363934017023,1.243661397205905,1.2807047425146854,1.3174014648983619,1.3172400623786638,1.2242800430628449,1.2612535324989906,1.2238997483334988,1.2257060643508537,1.194542865377117,1.2746283079322562,1.2414438194328767,1.2570890406570736,1.2173157692066592,1.2843633302587156,1.20791181736795,1.2996195165622202,1.220610317884503,1.2604922246824974,1.2306995191538814,1.2886782595716098
Shadow Entei,Fire Fang,Flamethrower or Overheat,40,1.1923459890842754,1.2073114548230932,1.1926994515370788,1.198178550029958,1.1852444374650348,1.2323004897582617,1.1993696631594781,1.225380743050001,1.1754604175801935,1.2485664654096535,1.1833117265763111,1.2174896876841486,1.176946394877664,1.2055256116799158,1.2064812902828974,1.2135401792840645,1.1944510630572804,1.237868082671607,1.1712819009668818,1.2029105485599754,1.2610742587987105,1.2622313557357,1.1728401291885346,1.2362400753599785,1.1577042422493031,1.1663118680149016,1.1668842287283638,1.2212945225219116,1.2123701036608023,1.2166882359724767,1.1652950289700628,1.2199038211826234,1.1677931960608774,1.2578558639212176,1.2044615815326667,1.2408566847369626,1.1872101329523526,1.2183211966777905
Shadow Blaziken,Fire Spin,Blaze Kick,30,1.4303165857337647,1.3524593818385824,1.4089652947412084,1.3421892427524542,1.294428140979713,1.348344734853318,1.3523391513013516,1.338631717838806,1.3139525078422774,1.3834156913009747,1.3978880377136123,1.3812626203103515,1.267418571561137,1.310263231154691,1.3905161922419587,1.3494882305474154,1.3416987196631154,1.3913058982376119,1.3306728564015826,1.3218714969836924,1.2943936493791686,1.3191518865908605,1.2976256560355268,1.3532204615798682,1.2629644329385448,1.2899757353803412,1.324851238408463,1.3765914523539085,1.3653626846738336,1.313634791076714,1.3138259288778242,1.3680944235987356,1.3158572068039391,1.3786145926589077,1.3557812221628363,1.3779364230994375,1.3481603104709308,1.3597496614885973
Shadow Blaziken,Counter,Overheat,30,1.639004581037551,1.3749261572414202,1.626088399317878,1.3584126837811679,1.2972018019963294,1.337931237547479,1.4818225531148805,1.3623434127977065,1.332495699396229,1.3582993220224642,1.5095077587900216,1.3891934786878806,1.3320122799962881,1.3511127780011754,1.4837228170532213,1.3008214379337664,1.3795447583017666,1.3751229846323914,1.7361810339022659,1.4967618760917527,1.3967751321909367,1.38514733094791,1.3578715852509757,1.3726365899609743,1.3707570741739656,1.3353478680509827,1.2917846305118077,1.3348788716157798,1.5049908383839679,1.345719667362864,1.3211691905397298,1.330419909194301,1.3517233661593555,1.3700984780662488,1.3986790868137742,1.3540759970476701,1.4158732528013818,1.3713390125062639
Shadow Blaziken,Counter,Blaze Kick,30,1.3671276188636203,1.3089971131661173,1.3508614094114393,1.296925842282343,1.2582939923640897,1.3016263115019582,1.3237483848473042,1.3152527386380988,1.2848391068236245,1.3534337369717002,1.3711632292280496,1.355725790610882,1.25452960190541,1.3061918092115439,1.3121010153377062,1.2780894721503395,1.3167646491513858,1.3681353503623488,1.3171816637025124,1.319344373982516,1.2766598316867244,1.3052985491959426,1.2606185237518504,1.3169660880096892,1.2441210164079344,1.2775863468667972,1.276247308729042,1.3275297947005271,1.334687287777251,1.2858296067552504,1.2655574162465186,1.3234438106154907,1.3140331244404655,1.3739480752014324,1.3164719655900843,1.327848616731567,1.3485228108707472,1.3579584830424445
Shadow Blaziken,Fire Spin,Overheat,30,1.7549980865901549,1.4384420756967227,1.7365626584320413,1.4157699221090472,1.3400041222138253,1.3989930020512922,1.5514399072042078,1.4088712048184535,1.3695567848348904,1.4049903868856881,1.5586391671577293,1.4303893144765272,1.3513467011042717,1.3739521791580314,1.604917497404174,1.392122748514631,1.4131829800614963,1.4036424522689956,1.7161106071828915,1.4991899738969583,1.4339249910205638,1.4206058732330968,1.3983313147624816,1.4268898869600324,1.4037556038642987,1.3688876160236694,1.3487632868259107,1.390526726227813,1.5562958881642173,1.3966915674692157,1.3811152802528948,1.392157038337199,1.3639324082363473,1.3742166517457475,1.4687332977017638,1.4137970527601742,1.4356934952501785,1.3894213853912338
Shadow Blaziken,Fire Spin,Blast Burn,30,1.5281141209646558,1.3216404795785297,1.4700834216711987,1.3155238051343503,1.3435511890623926,1.2997281301834385,1.386267043136826,1.2958321654098672,1.2641118831584983,1.3071347859817182,1.4285052052641918,1.3343201728540561,1.2614544990565746,1.2863489436728632,1.404240019800037,1.2900456484585408,1.2872677879947547,1.3037716367856558,1.542182752979668,1.3765175611282534,1.33407366320068,1.3037299894974697,1.289214944152873,1.3041818059480554,1.2791784306473872,1.246797791829408,1.2730771186871683,1.3003627918015834,1.4168983765360121,1.2995656240790334,1.2819006510428328,1.3090796743890316,1.281054162936437,1.304610564010743,1.332506171896872,1.3212313252398769,1.3333937500666362,1.3003102576951373
Shadow Blaziken,Counter,Blast Burn,30,1.4676280777104471,1.2727073448930533,1.4238097432824814,1.2639959441397428,1.304001491848813,1.2557127013259788,1.3621474295428806,1.2599945762773666,1.2448350591965458,1.2798048706445846,1.3920989982321745,1.3061936751129444,1.2467308763030096,1.2739896841844782,1.3311336546445878,1.2308242058383747,1.2637584752012734,1.2852173687529074,1.533250680303096,1.3649434962231788,1.297030648292543,1.2839252183480565,1.2500042053559413,1.2659887632889248,1.2589075508970693,1.2318939933790964,1.236594503873735,1.2524793598589519,1.3813794959189165,1.26719885191497,1.2506917889797344,1.2673305452819543,1.2862242614145032,1.3051253357206805,1.289913720699397,1.2884121045532055,1.3292889661275362,1.2932521616751784
Shadow Gallade,Low Kick,Close Combat,30,1.6303515101076338,1.6020386174406378,1.6110337834723694,1.5995686039544637,1.6235398039003994,1.6483496422507289,1.632011813688291,1.6590050887280003,1.6438383310284344,1.7009014402806353,1.8124439206442742,1.7286788450206247,1.5458334622165857,1.599894831266046,1.6088306408504642,1.5950584847992244,1.6758003523803504,1.7097270916302372,1.8087308534783588,1.6486823707424116,1.544203830922904,1.5768162330015867,1.7061886018032566,1.707223119364823,1.53645330639269,1.5648807966733116,1.6392171156356485,1.6828368962652787,1.5495560139922864,1.5764770703330215,1.7080874385449596,1.7491291070772923,1.6876342882721576,1.7349709042076993,1.6139955715049248,1.6479473670815201,1.6100881728913672,1.6425319586749545
Breloom,Counter,Dynamic Punch,30,1.7211994664744588,1.6197441603846139,1.7050873392634927,1.6096179195280453,1.8261171690205817,1.6471286817749076,1.5728043608553075,1.5693313552697847,1.538144668937835,1.5982645798900392,1.6652665488116283,1.6618990375171871,1.4897035169661914,1.5584614432862136,1.5836046319199446,1.565734805448525,1.5066383336007794,1.5408276561844048,1.7327666451451906,1.6567430216944397,1.5133509436364214,1.5710921267396234,1.73741757502355,1.6198862871753466,1.490158847565871,1.5513931860618253,1.544391137030193,1.5997931747673215,1.4809528080673475,1.5182783849928885,1.8104990731370951,1.7140515998459707,1.5636862130707252,1.6423903312444046,1.5163650708813725,1.5751698862334886,1.5322038958131203,1.5833804228460546
Shadow Ho-Oh,Incinerate,Sacred Fire+,45,1.179925544207198,1.242313851229598,1.1739576900032263,1.2209540489468589,1.1497325468411084,1.2315388616800966,1.170731040329252,1.2534724358667588,1.153324956993962,1.2603846932235976,1.155656648988411,1.2281532115497937,1.149094079618918,1.21327987256024,1.1340442015327454,1.2162875808953073,1.1579649467458306,1.2305238537508083,1.1088128463406228,1.1948380145844308,1.2700491482038854,1.258937380368907,1.15761253532499,1.234574754407213,1.101807669063061,1.1839600941719812,1.1778273178836014,1.253072710936308,1.1234575810770986,1.2053995874069423,1.191668084572882,1.2687275560371463,1.1609892569382274,1.258661593554163,1.1595785294342216,1.222799114300985,1.175674090817012,1.2355719509984755
Ho-Oh,Incinerate,Sacred Fire++,30,1.4934702566941478,1.5625777903274345,1.4802968152279117,1.5498585057842098,1.431809750017176,1.5425736354981499,1.4785979449104745,1.5747596356534561,1.4530264444969136,1.584620703612507,1.4494472598703594,1.5428858770379101,1.454172337529772,1.5291862569210306,1.4043234962882252,1.506384486846595,1.4493368149938326,1.5289190157339285,1.4171139304684683,1.5099045001010056,1.60665296639645,1.5994989702064586,1.4662604292827346,1.5750698089086261,1.3885902165775161,1.4841039680320403,1.4587027650160205,1.567599640598776,1.4103507040990224,1.4891021616288456,1.502825364700404,1.579544538673019,1.4516562220232767,1.5703782452999104,1.4508793362347612,1.5323483749459164,1.481080677662512,1.5591568667171325
Heatran,Fire Spin,Flamethrower,35,1.4890359758204441,1.551738230671774,1.4732414619532654,1.5363801447204681,1.4833943486411416,1.5653753668279564,1.4665085127377722,1.5361440978275485,1.5092083516038721,1.577790332917327,1.495456295423296,1.5546053820467491,1.4881356522008105,1.536959850289214,1.5308372398865304,1.5442359484906132,1.5122482158110826,1.5703099293780503,1.4883803835047789,1.55627997987808,1.4921890273565903,1.5577798287769324,1.4648390189745661,1.545644933387162,1.4605790133590713,1.4747070656046761,1.4729601437604896,1.5430010002203876,1.5101418448803865,1.5209563958330663,1.503058199826269,1.579598269855911,1.4889995523724262,1.5643352730528202,1.5056119722073757,1.5544017713980303,1.510656445576962,1.555020097448637
