Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zapdos,Zapdos,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Mega Abomasnow,Razor Leaf,Blizzard,35,2.066228593405742,1.9941774606144775,2.639594508538461,2.154188596108323,2.0563487882161047,2.0825815674368484,2.06587375605516,2.0717866070334034,2.01061002874802,2.1340427502252,2.441009792692942,1.9383702711698374,2.2393833028996735,2.062211833693543,2.446826746626905,2.236533268126949,2.259521545762089,2.1511743813657813,2.0873621696261524,2.080262208439534,1.6308193985196764,1.6676815453958491,3.158658835853154,2.3951317874390647,1.7502467975347686,1.7518097422329768,2.215174341064908,2.1915921880474447,2.163594028956262,2.2190995088708356,2.06830775936977,2.205537787108883,2.1643383921978625,2.1071484217110417,2.49734127223056,2.6215451683590865,2.0974500951411432,2.1496101373208503,2.251549103878019,2.1104833749085845,2.174215739721852,2.063277434028145,2.0769953732107145,2.226879519679346,2.0815590672614404,2.1239042264968373,2.082407105148456,2.1626616913687364
Mega Abomasnow,Powder Snow,Avalanche,35,1.2713001234163204,1.2647516580332887,1.4712088306310949,1.369782599380842,1.3134107455521458,1.3423489207821946,1.4008332264001282,1.387073949989364,1.2976177177974486,1.3350106257981285,1.328354930992283,1.250897998206081,1.3513762052316476,1.3335362441696497,1.4461636580695818,1.3878301146779282,1.362151592009178,1.3481404271516269,1.3282931233065227,1.32530389526274,1.2999272198520901,1.3107085085981145,1.5763223969032865,1.4379542520616502,1.3163283929157144,1.3250916995623692,1.3853131629626476,1.402753472278907,1.3906142293896717,1.423846353814542,1.2867391168356235,1.3474142986518158,1.2887653088797713,1.3200565424644297,1.3602988668161424,1.420807290616557,1.3302450549649214,1.379132384408752,1.332406255322133,1.3375566775864314,1.3135569852187527,1.322235313107876,1.309224275722252,1.3960644308578052,1.3403637065162168,1.3261525013260338,1.3507260069598843,1.3756167561591157
Shadow Walrein,Frost Breath,Icicle Spear,40,1.3469936864316732,1.3599640135336648,1.3872783134023914,1.407416725805199,1.3639116380954854,1.3880735618800057,1.4162036655914596,1.4450312098082505,1.420883572841533,1.4807190737003044,1.4608480976194798,1.33738101898849,1.367182905998723,1.3836852332750995,1.3857634619152492,1.3689098272881761,1.4002633996708305,1.3608754328824648,1.479486130709104,1.453474294778056,1.3095483254808058,1.322889049428315,1.3366350043425592,1.3777287799444797,1.3721863645239472,1.388584234056592,1.4373537840869517,1.4470853132428763,1.493500755866782,1.5527715412723744,1.379757388310226,1.4753222690766914,1.346596105253888,1.4095547130387134,1.453644507318291,1.5460028307961307,1.3672113209600194,1.459755377051153,1.388190324487322,1.4035917009787715,1.361400593049138,1.3624195814451572,1.3844020620923314,1.4830107844386118,1.3473802337950134,1.4117567648491265,1.4116644714302866,1.4775915141843359
Mega Abomasnow,Powder Snow,Weather Ball Ice,45,1.1591981948784305,1.1815743222846946,1.2619241233762855,1.2533143440658996,1.2054594451403027,1.2366311539878134,1.218904594158574,1.2344469862425507,1.1962953013151663,1.2193886481318434,1.1556911458600216,1.1356664552371958,1.163351645724916,1.1944180005933704,1.2482062491199628,1.2404058872630643,1.1974715980523158,1.2014723475722546,1.1949219875601689,1.2133384875985131,1.1691637883448887,1.1765708573854574,1.3643539815633023,1.2943274905311373,1.2048312651476571,1.2286124171545185,1.2779511207459129,1.2992997618914157,1.256677366278321,1.3472161163039538,1.204242234142518,1.2877639542725727,1.2039339238979976,1.227971621885065,1.2800022684667833,1.3566883404674035,1.2366924407966104,1.2986513544552698,1.23867740610505,1.2482775824241876,1.2210887373844692,1.201511485787929,1.2196405307161522,1.2925864242737417,1.2291057519000905,1.231187714344691,1.251651990345611,1.291611234959081
Mega Abomasnow,Powder Snow,Blizzard,45,1.3375535967520291,1.3574905161691149,1.460468043509449,1.4364179131697992,1.3938472478755828,1.4184762962947777,1.3698627909057841,1.391277660861752,1.3257893705830812,1.4029692424201112,1.3380836872930426,1.2959176454512427,1.360228420305034,1.3820176395413848,1.4742898516891927,1.4176771274639774,1.3901494715724279,1.3833115435145973,1.3467334174168923,1.366783050957463,1.3401717242983584,1.3567788796310014,1.6984468128835257,1.538292848557863,1.3436284757452424,1.3720660287899615,1.4070197413863208,1.4789216764661794,1.3643960046335935,1.530395215887298,1.3199321741217882,1.4422168124799262,1.3469285142774992,1.3698008519004425,1.415331778918026,1.537495527971834,1.3691845565032466,1.450772617038799,1.3870919564411583,1.4239957322754184,1.3603544285055298,1.370443924713637,1.350714288822261,1.4568241653526897,1.3763527880977837,1.4068354690063474,1.4017790043847198,1.4445983415102368
Mega Abomasnow,Razor Leaf,Weather Ball Ice,45,1.5091421239084937,1.550861739898007,1.5988706021280958,1.632168311587434,1.5553391676079542,1.639466792763896,1.585003013832679,1.6404166246635903,1.582355495616552,1.6701984215289865,1.485461684871298,1.4767769192879536,1.50535023857593,1.5861956454302475,1.60005018922107,1.6131935249375617,1.502982758372175,1.5331808312944861,1.5414147832346077,1.6083209210383667,1.290329606549599,1.3194271557472133,1.7609589242197363,1.6511920964474363,1.385639414603267,1.4289288508392073,1.6362827159562205,1.695091780316319,1.694617459468921,1.859541149906868,1.61306722441095,1.753133520648055,1.5711726012920766,1.6455498024551414,1.8324928774377962,2.0025929017243844,1.6173273754157729,1.7238405567015158,1.5931393822819302,1.6419116601047896,1.584223098366643,1.6222010617908282,1.5997205351453387,1.7400058605697535,1.595833582848063,1.6467453875543552,1.6508301812382746,1.7383567710159762
Mega Abomasnow,Razor Leaf,Blizzard,45,1.9047686136843685,1.875579666341066,1.9748629157855038,1.976731446437225,1.9330687022622564,1.9716805120786614,1.9222427586517203,1.950712784145886,1.920002497970399,1.989205136520742,1.8274739556284325,1.7546655282713057,1.8943847021006759,1.946908655484684,2.0201192521153137,2.0138552862474097,1.9274213791487185,1.8779519421054571,1.8367149122197028,1.878227524837297,1.5215972018029207,1.5147439681916972,2.379018098574675,2.1117502928978085,1.599006492354541,1.6018404363801582,1.9488897075603728,2.0000078391536573,1.989218570980068,2.1643814305921487,1.9150074371062196,2.0494214663024706,1.8904676043743633,1.9552456834811252,2.269937972532034,2.3838916026404804,1.931069416325913,1.9733519923537397,1.9226241497109768,1.9816750919163686,1.9659104513138144,1.9589294612633301,1.888685184326622,2.010161471750208,1.8909155061779845,1.9411645997616425,1.9909540594002686,2.036784683113008
Mega Abomasnow,Powder Snow,Avalanche,45,1.165736530272941,1.1843745223752797,1.2600363706507014,1.2641310868756395,1.2132317357752826,1.24689869376846,1.234988960266057,1.2509544281129799,1.189065511535459,1.215757669730366,1.1529127294852246,1.1383791461296173,1.172060144646185,1.2135948243679484,1.2670393556170692,1.2500300370018398,1.2046753174649356,1.2075230661558116,1.1845610097042394,1.203991773953635,1.1663521561118817,1.173563225450327,1.3822480723677795,1.311679163955527,1.1976142479551062,1.2121007846470555,1.2666944766350792,1.3037587562109596,1.265327794266666,1.3218316839402415,1.1788809172187853,1.2576867228699251,1.1983741407043271,1.2168610878402841,1.2717829430815537,1.320662510143195,1.221618169255071,1.2744436859407795,1.2419110590168205,1.239141846742604,1.1993713641652974,1.1967728793292363,1.1971513069775739,1.2844544411220544,1.2186772477065702,1.2213506610207685,1.2438667714896625,1.2855665931412419
Shadow Cloyster,Ice Shard or Frost Breath,Avalanche,50,1.250707213068923,1.2311529020467409,1.2934418480713188,1.2879423661087999,1.247641246093913,1.2413883177385956,1.2769878811183617,1.2962525517988388,1.3062184384644218,1.322563495630625,1.4766448335731535,1.2461179841077055,1.2672729554672102,1.2404772776044446,1.3112753900970318,1.2459271297251147,1.3345269242616509,1.2409037160493894,1.4100633508789482,1.3197910433639144,1.2352543044313744,1.2110355586298598,1.2523818724433597,1.2711585872333493,1.2783927880878632,1.2488148294209465,1.3287763115389257,1.3133234750267966,1.3394274341125194,1.3718046653327125,1.2333433467353767,1.2868641406810042,1.2200746447843116,1.2417452668643243,1.2799655531845904,1.3426838908108867,1.2463754572771324,1.3069513253684506,1.2532864484717336,1.2546571294042215,1.2722317872370035,1.2305508394266862,1.2685326264639982,1.3201075308021253,1.231425171599789,1.2631345303809713,1.2918021782962785,1.3340371186503537
Weavile,Ice Shard or Snarl,Avalanche,40,1.266420223966841,1.2301899597487662,1.1773594849561884,1.1566557570603428,1.2550184351142517,1.2718426208179328,1.1876527649201198,1.1843640583777206,1.318097054191759,1.3148437870085685,1.306768582134579,1.208798201187606,1.2193017731951523,1.2300061057122158,1.3277730226996245,1.2612044439028418,1.2985534371948737,1.243002158339824,1.3142045192092169,1.2927286935674849,1.3272628445829073,1.265642242580532,1.3385974433359948,1.3303270700084957,1.2986242194050823,1.291678535921086,1.1925987962637072,1.2158631210707431,1.1857891873179878,1.220398786217146,1.2310077262349144,1.2952775425475642,1.2709204107608318,1.2677184453230907,1.2954584079745446,1.3586457032348298,1.2366958358148794,1.3034074355483365,1.278632404652421,1.271221110209479,1.307311273954544,1.3091051339725506,1.3196897288938843,1.3257060403629113,1.2455196096655026,1.2644856598548277,1.1764866499395406,1.2142928431866826
Golem (Alola),Rock Throw,Stone Edge,50,1.2736448554874487,1.2696133319804077,1.3357197892079402,1.3418119431459756,1.3046326837367148,1.332252942477478,1.3541930820342114,1.3906505701563863,1.3302854659965035,1.355453460160199,1.265415193469507,1.2345024044331867,1.315516741715799,1.2880424009506264,1.3354482593711299,1.3397240299279318,1.3123096371501375,1.293295960546637,1.3126252854241371,1.3350591296653487,1.4562117625923856,1.3142586136610177,1.2544523781786636,1.2836314403184608,1.3251022287396765,1.3545748318203226,1.388512450954392,1.431774038146311,1.449296881369759,1.5232954907331362,1.2991016453146895,1.4137489757262314,1.3584084899503899,1.3757002888091534,1.4049933888555308,1.4877118885151688,1.3594659772063566,1.4242211976622923,1.2983147496969514,1.373868702351256,1.3242891036064854,1.363328928142283,1.3623030928834288,1.4260816509702123,1.3250876359191828,1.3895497115840485,1.3850629984493197,1.4543386548996609
Darmanitan (Galarian Zen),Ice Fang,Avalanche,50,0.8492357199162441,0.8551250155022734,0.8840994435080088,0.9047194439877835,0.8969542371379573,0.9098630309847041,0.8988264286723998,0.9282850400051987,0.8809977205391846,0.9195962008232496,0.9190728309898362,0.8417755666933031,0.8352395445164784,0.8635517451102996,0.9211040215759062,0.8752369712062759,0.9175996784111031,0.8697426167748328,0.8898748906575816,0.91722712597939,1.1345248139615047,0.9077954601463434,0.8710384541436161,0.9078127234618485,0.9104707244201614,0.924573759758633,0.8786770720395769,0.9177034993867765,0.8909387190260568,0.9649792714256703,0.8372766906347281,0.8958065729032035,0.8577637124132237,0.8861016898760236,0.887088575710355,0.9567661164714073,0.8640701736696133,0.9065642593355999,0.8616470411444714,0.8934793576373234,0.8421766313712544,0.868225437389553,0.889201277562195,0.9305227505187265,0.8400025707228589,0.8772841905274863,0.8950386311419035,0.9387595145779728
Aurorus,Rock Throw,Weather Ball Ice or Meteor Beam,30,1.4676835564516288,1.418231877047879,1.4737453672081886,1.4654182197385623,1.4465602630184116,1.4863874897699751,1.5255490473773925,1.5247102396729573,1.509435052832451,1.5202517798353223,1.5718171208938019,1.3833890297649303,1.422768909053833,1.4329593510459486,1.6402291813874734,1.4680688608101122,1.610479399145526,1.4584524655415683,1.5457023521333872,1.5221276770914307,1.4403299520249846,1.4560250523395208,1.4621339250958252,1.4810060151785942,1.5136845164937967,1.5010202613277994,1.5190423507232018,1.5369492228715909,1.6084160124445144,1.6463219926552104,1.4754128981018082,1.5565973619880205,1.4664315623167659,1.512223393917771,1.4999658441080903,1.6069107404352914,1.4830491236227152,1.5572028750033207,1.4398032438714072,1.506246506176179,1.4344957618095004,1.429741693059938,1.5324333622760857,1.5999628500493857,1.4277974754993843,1.5019125231933317,1.5023588846118394,1.5717098718806926
Mewtwo,Confusion or Psycho Cut,Ice Beam,35,1.3289236094598664,1.3806138467872722,1.4567419662482144,1.5174140849720326,1.564171668075466,1.6154676838266866,1.5392178694019214,1.5971307080568744,1.4221004538440283,1.4557940285188302,1.3062350458658845,1.3239217212390135,1.3834679686175646,1.4002249872506038,1.3538699726688703,1.4046626096778712,1.5191486862847996,1.5709146759100343,1.369162234741479,1.398875836220599,1.3124708169264512,1.3399097004114227,1.350659245010319,1.4104819056873794,1.3684176688529068,1.4133430042231574,1.5083145450511022,1.551495990215823,1.520640279325106,1.5694885046730929,1.3687042945116168,1.4633025393589698,1.3454012956895403,1.4361689996454805,1.2359399342402413,1.2836944191113908,1.3907867182471791,1.4669584515117973,1.3632338532744266,1.3907432452739457,1.3197025430080105,1.3799012240745994,1.3739417102871003,1.479680207343537,1.335637591768056,1.410321636890473,1.5178077795456355,1.638177798357226
Crabominable,Frost Breath,Glaciate,40,1.2678734746632034,1.1695354455079945,1.6178680730523776,1.3063316216016112,1.3368033760164255,1.2444524166319877,1.3667728332484674,1.3245121141171103,1.223309381047416,1.2112473127656214,1.4240610431043756,1.1445148709241546,1.413440348781248,1.2024389989289204,1.4627901621206032,1.2613046831980692,1.496054717090923,1.2172671456689865,1.274823039967506,1.243965144700633,1.2429333777589087,1.1634559975678531,1.6537417517419961,1.3454746933452293,1.2145141199458354,1.1946390215139808,1.292622210978491,1.3388995700528652,1.2495088307545994,1.2943589952051764,1.1967496452757853,1.2561330982283794,1.1940199870686963,1.2162913728332727,1.2565540185097315,1.2816236514176722,1.2475032993211916,1.267239117672097,1.2663086185996653,1.245982307977439,1.197708113649712,1.1776352487753747,1.240367532443565,1.243041248598437,1.2301876939219825,1.226916137551211,1.2699979179832268,1.2809340140218504
Crabominable,Frost Breath,Avalanche,40,1.2947970344479796,1.2505281792968974,1.5012908062996797,1.3503399638780444,1.3635706106900658,1.3198891729265423,1.4420806414645344,1.418430097316023,1.2945808869327875,1.3139384612175646,1.340916519058428,1.2179451225113758,1.4004258814343522,1.2846082788807485,1.4835552699832761,1.3395503638772046,1.4937630758931648,1.3033595469568369,1.3247422211118323,1.3211614925451667,1.2788804754969663,1.2302282517486811,1.5569659480843963,1.3861282461459195,1.27721292995736,1.2732445947032496,1.4088713418694105,1.4142342172435731,1.3544991547650715,1.422802587652606,1.2692858012832628,1.328116306659443,1.3197495180868897,1.2902779251805905,1.3560976552854815,1.3893336028978926,1.3331878568005058,1.3484746055604118,1.404025486129895,1.343902663821517,1.2671128318506324,1.280550265447707,1.3292935012643137,1.3319127528308459,1.3083767835110973,1.3103207484449608,1.3707395492488765,1.3846948266473176
Crabominable,Bubble,Ice Punch,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crabominable,Rock Smash,Ice Punch,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archeops,Steel Wing,Ancient Power,30,1.6988435791597571,1.6071825687565555,1.8337198904476502,1.6415496680513642,1.7085353200935798,1.6459100514023874,1.8778955702857092,1.7145472003883844,2.329338297944791,1.9521216476401655,2.568262347504186,1.759112644821109,1.6532612059748433,1.572175995404879,1.6802060894221211,1.5681099787228314,1.7415024244621102,1.5723877708668434,2.7787940527554795,1.9244282398994306,1.8223716808452324,1.4455292798066564,1.6230033461857933,1.6169159021015715,1.5452242523326913,1.4664203796374644,1.7076696262516056,1.6603000181099672,1.793339419986767,1.7392191980569045,1.544557097059486,1.6127034925552677,1.5756836918796984,1.5930269186389163,1.6544154730057055,1.7181982960352835,1.6660032800969005,1.6682265926858233,1.5933619851931997,1.6057577014396056,1.4380133158437642,1.3639845527028671,1.4922614522299797,1.455974682818793,1.5410473480305296,1.620375309383842,1.6631353777244766,1.689081088861724
Shadow Golem,Rock Throw,Stone Edge,35,1.278251118092185,1.2282763667706877,1.2812733427088006,1.2870335920507034,1.2633024490787912,1.2711010707103423,1.4427270410468036,1.351403432939196,1.2948217626498388,1.2989325448726832,1.2929799645186264,1.1690798709449282,1.541653069090161,1.3071748583687106,1.3776780629593754,1.2583983323349541,1.3758419153544286,1.2513582379661745,1.2494989420853966,1.2447810691235108,1.2908518885603886,1.2548965761853834,1.2719389219276986,1.2731363696204594,1.2893794421960927,1.2956946193989562,1.3570323886810687,1.3261463896492423,1.43471740956912,1.4184975564819742,1.2867727822027584,1.3241205613606024,1.273103038705846,1.2675906753106185,1.3368319646119182,1.3919279592397764,1.264645153963654,1.3111600446410951,1.253067952994921,1.2688876867129504,1.1953762361925842,1.2220973004480082,1.3126011552194254,1.3461889267040177,1.232412615326285,1.288297914933765,1.3050406654228421,1.3380559985400176
Shadow Golem,Rock Throw,Stone Edge,45,1.1739307585191296,1.1366389223658873,1.2073970063407455,1.2070370199008567,1.1379905941853596,1.1751428103509973,1.4000011535173216,1.2978212637090338,1.200895185639535,1.217645471907194,1.1789977827603735,1.0640390091990286,1.4004744590359142,1.2059155300160347,1.2419286361509994,1.177234526823163,1.2648021913315137,1.1820196359276296,1.1651249951197018,1.1699326264706595,1.1555232685349464,1.15661236049512,1.1835639104438314,1.180056713729212,1.1603253898667196,1.1677855672418787,1.2588525069708532,1.2518152873162074,1.2946614143228021,1.3231865319307397,1.2178328301211976,1.2272096185247496,1.1771535927271577,1.1952121810171772,1.215029954993398,1.2877621925026068,1.170526929751725,1.2319532329443406,1.1234256003366092,1.172458870555706,1.1227905030609477,1.1311729389293395,1.2038710068491845,1.2578001017572555,1.1371454568761816,1.2025075393832318,1.2322105436707607,1.2712667731787768
Mamoswine,Powder Snow,Avalanche,35,1.2476458372910224,1.2427987013609025,1.2495253158080522,1.283641854527034,1.2485876130883276,1.2781162768608625,1.3295901338015612,1.3735938462645132,1.2325858605074522,1.2870428089048875,1.244524992302213,1.1420960115999994,1.2758389245025779,1.285191210099491,1.3543638906911089,1.2877179783216601,1.3020877653682283,1.2402195388744068,1.2195822531746234,1.2371427251663478,1.2305399473188423,1.225781753218487,1.265216810676729,1.3049655768121542,1.2404080790058414,1.2463194143990648,1.3099273329483014,1.3239951888906862,1.3086242821166192,1.3856205256289922,1.233539658045636,1.3178569904930153,1.2232290775193273,1.2622444693837458,1.2883812335193219,1.370630333635857,1.2354274569895745,1.31904991432247,1.2523004638395494,1.2723824121660203,1.2571289946301338,1.264159534294541,1.241509293264201,1.3356621070953856,1.225308051174,1.2884529890595435,1.27905560894217,1.3461379690458817
Nihilego,Acid or Poison Jab,Rock Slide,30,1.4480897850975918,1.4772564379891693,1.4991930614841606,1.549819496436585,1.4889619141267847,1.5372447163188174,1.5528130740942865,1.590762934207026,1.4932296583472606,1.5330412500607842,1.3860712526549865,1.402850697094045,1.4122556247109217,1.448169953039279,1.4700144557586938,1.467498251431728,1.4589879665748273,1.4606784436677578,1.4742341199284905,1.513078668620015,1.7755338938223626,1.584021149235386,1.448011751903007,1.50720874308245,1.6371428534963888,1.7057865486888304,1.553499655058212,1.6083917683254583,1.7711146791136634,1.9456294386534867,1.5249460812562157,1.599739342081908,1.5200699968913687,1.578315979945189,1.7651004487034663,1.9042640731020786,1.5188959672190614,1.610872342305433,1.4454087899097365,1.5563209409030345,1.2303164451537314,1.3019433991128864,1.3294147937525065,1.4044016689870382,1.4869397932783444,1.5651247752492465,1.5870068199819263,1.6665363723189441
Mega Abomasnow,Powder Snow,Weather Ball Ice,40,1.2090483346256486,1.218580314745101,1.367092545270445,1.3173825006695343,1.2413777944510387,1.2746438197438286,1.319486826653071,1.332292516803559,1.2396315694705293,1.2670548363559235,1.248635864439548,1.166771169606598,1.2201787204956316,1.2348000447459617,1.3394745823277963,1.3160406366784734,1.2474771767441688,1.2329583242357058,1.2305484159375824,1.2441237718474687,1.2041421731015935,1.2221934923185467,1.4368419507325523,1.345619034900538,1.2479982279075525,1.2664547111368065,1.3155857177774537,1.3364039792913915,1.3187364843931435,1.409141828670351,1.2325797198325263,1.299850771573521,1.2589775839838502,1.283435097726183,1.315527157984902,1.3938653624455692,1.2695880459369737,1.314409671252742,1.2932980695058054,1.2952958855528505,1.2876234435505731,1.2717169632341863,1.2516082432679592,1.3226639755458498,1.2689364949532256,1.272964568446823,1.3018374440618639,1.3497817554375704
Mega Abomasnow,Powder Snow,Blizzard,40,1.3793327211259938,1.3915922112510348,1.6173023948787006,1.5209582519870883,1.422382212637375,1.458652841526806,1.492714463409177,1.5211456562084202,1.375650958143792,1.438514933980326,1.4909811250725347,1.3431553401867873,1.4076578941093696,1.4175750796785362,1.612706992405308,1.539203277958749,1.4508042124728875,1.4253575834708434,1.3808814854695022,1.3981858639864935,1.3994440149460328,1.4147631612686777,1.750856436032729,1.6065232154070404,1.3945081725559865,1.424595137179227,1.4669456758448316,1.5008111050516229,1.5000515754536214,1.5587225909563316,1.3729284912676722,1.4572254211320803,1.4055264764304785,1.4637057895057728,1.4497901944418512,1.549558542001896,1.4226272875102624,1.478906963683235,1.4586217052865686,1.4473059237219368,1.4659913940637455,1.470152390247605,1.400776397958193,1.4859474610274361,1.4055914145240995,1.449660619583439,1.4580303607250118,1.527247320459101
Mega Abomasnow,Razor Leaf,Weather Ball Ice,40,1.5549308588017774,1.5938838435329603,1.74993610344315,1.716473374293103,1.597043685082192,1.6827614655431806,1.6455483438034735,1.6988465758196547,1.6428372897724823,1.7193684180898794,1.6565743717013195,1.5615833920765654,1.562467414749868,1.6273340529224203,1.6883961161527785,1.6657751095822078,1.6201802371237655,1.6302185726129474,1.6245253543431641,1.7036269035885987,1.3611500645271246,1.4057407260971337,1.8311283361226107,1.7106150711905053,1.4257401054449248,1.4603557330413242,1.72738922657502,1.7901313769850133,1.7596885375293332,1.888185864643409,1.6456200650009052,1.7813161412283152,1.6142583806966797,1.6783040873608173,1.8787962984956124,2.0436088802372905,1.7057094616358266,1.8120466960997774,1.654787966218856,1.7111349542672236,1.6301183404088933,1.6622631546025266,1.6936051821480385,1.8361354088692656,1.6473097466049553,1.682008966838252,1.6942211366195903,1.7891355811525704
Mega Abomasnow,Razor Leaf,Blizzard,40,1.991597577178009,1.939876822730372,2.208744105856738,2.0814447559410585,1.9746721323984464,2.0149029796164832,2.0128155774418155,2.022060159009139,1.9480169595603973,2.033908754468986,2.2410678550110865,1.9000091519416198,1.9539556106299416,1.9822764709671425,2.2514284099569895,2.152700678346551,2.110894998342408,2.0199900277546594,1.9609997844569864,2.034299489952283,1.58839563534075,1.6178847233087634,2.5309636314213764,2.1757377378344414,1.6271595980789677,1.6382107673281543,2.1457968798417952,2.1577055436553905,2.037711133861717,2.1813828412176544,1.931728204879953,2.086321405448396,1.993408271668778,1.97543861431822,2.2877301540918666,2.4506180375147695,2.056350003976415,2.1029605492935857,2.0803416183291756,2.015232771316082,2.072934923200441,2.001285947190654,2.011376647234962,2.166735009972421,1.9404517664662124,1.9876105927166159,2.034941529110964,2.1122748658714854
Mega Abomasnow,Powder Snow,Avalanche,40,1.211694423259064,1.222352527499952,1.3494302054010712,1.30848661814656,1.249125895191245,1.285445769422014,1.3138805891765255,1.3334903836419494,1.2273546355256373,1.261694189366512,1.2486662170328138,1.1783673028477888,1.2230799717810992,1.241281447472547,1.3545575724900558,1.3294151168242692,1.258197874331558,1.251357116889343,1.2336395786795957,1.242903292345531,1.210814531155354,1.2257012190674774,1.4421055871736808,1.3589766903542146,1.238827362332602,1.2579056572950609,1.323096920822303,1.3371223463941624,1.2971221155467552,1.3972682257425926,1.2358201716778991,1.2964570461524993,1.249041442645754,1.279977686350399,1.294624304522516,1.371561785983048,1.2666098510359347,1.304909052128723,1.2860842124244882,1.3014868912732043,1.2691772819588565,1.2762565512672166,1.251096306145601,1.3149803724927722,1.2692407817720517,1.2851560485312785,1.300063286700319,1.3346114174568475
Mamoswine,Powder Snow,Avalanche,45,1.1315607464046806,1.1454181468529603,1.1315328173907646,1.1641445423273433,1.154826032062316,1.185931685641612,1.1800168026634932,1.2160784050738713,1.1262277970577477,1.180484832431798,1.1750200927242873,1.0662068537309686,1.170079198691406,1.1708282664937564,1.1931074968235702,1.1790535515991807,1.1625437019772058,1.1554523571708077,1.1139347301794125,1.1536017382854273,1.0944102082602396,1.132307169074886,1.1249893685435806,1.1688135105211166,1.1394795331937102,1.1782924737440605,1.188554858492431,1.208189674183083,1.2148449800120227,1.2823437634183128,1.1426129497382478,1.244759951343266,1.108309021277941,1.177051602525744,1.1971104299573134,1.2828597632729704,1.1587613241895305,1.2425393412595127,1.1385515783568259,1.1850248950600586,1.1208318290788997,1.1480658431200654,1.1804492833405427,1.2472056140237162,1.119638580365608,1.2015788022900664,1.179421375592521,1.2254133831450642
Aurorus,Rock Throw,Meteor Beam,45,1.244863269314349,1.2417959172670698,1.2932166752060685,1.3051610957452535,1.2845070557276408,1.3165844506354176,1.3146424837850215,1.3270972109169166,1.335306097497996,1.3592278708157266,1.4459893491249913,1.2421910740755617,1.2874796362575625,1.2732593886149999,1.5141291648343427,1.3042685402691432,1.3776175942865656,1.2514544904198646,1.2923649682223468,1.30713332315662,1.290370449417413,1.296756446762627,1.2575488076194157,1.3148507949677457,1.34662115509542,1.3519617771719779,1.3004634576139815,1.361298144057539,1.3817030150138745,1.4727754138920455,1.331860059059178,1.3934318713987397,1.272850885809362,1.3447444373941995,1.3866525403053334,1.4587659209266244,1.301597042056383,1.3697882586518433,1.2732397639727908,1.3303519370059809,1.2434251879312601,1.275252439469231,1.3047118170601997,1.3980622309685649,1.2658171050683737,1.3300527771249047,1.3240978569915187,1.4086181908045359
Golem,Rock Throw,Stone Edge,30,1.6016065398866817,1.542562227587019,1.6076972126490365,1.5951621925951287,1.5909455082759278,1.6058260746565753,1.7509002987753157,1.6530992252017598,1.6211847994229034,1.6328638790841594,1.5533028468655121,1.4074151269938653,1.9041798801894847,1.6287202049962923,1.6794763173827623,1.5431526419690529,1.6902939837144906,1.5486632760320715,1.5283134655624655,1.5246416380956276,1.595554115648269,1.557805325387911,1.6061919117584382,1.6065365698422758,1.610408315114666,1.6248487627259465,1.6419386272660148,1.6274933503237474,1.7155454313030603,1.725126389599037,1.585910237034689,1.6321958064402753,1.590157738572393,1.5998636492620955,1.659639575244325,1.7381913138712877,1.5545511959843044,1.6156173895891255,1.5441624740780813,1.5949234113745878,1.5077647642035783,1.5222425054159014,1.5940872762769507,1.6544804025758297,1.5321923616070157,1.5921112038402077,1.6026278209583076,1.6548809339773018
Darmanitan (Galarian Standard),Ice Fang,Avalanche,40,1.1680759218480288,1.1357824932944987,1.1981908246254145,1.204716278303921,1.1627137144175643,1.1834139321493953,1.1816008828634685,1.2146524857116103,1.1493284945418465,1.2063661554664902,1.1643980699905412,1.10044948382126,1.185850963918408,1.1500229364572943,1.2536614503164976,1.1740697373286264,1.2474955944349746,1.1568693449014227,1.2243516799592307,1.192024137689704,1.2541614813370356,1.2021998337111808,1.2338615438674256,1.2221426954554193,1.172050266930598,1.1929319547130512,1.1907104545046154,1.2234990275453779,1.1900364239843106,1.2541045411301248,1.0928551834386728,1.169635563006293,1.1342980251535688,1.1414134788142642,1.1702136317545577,1.2367110104049341,1.1336308897095213,1.1748191325236044,1.1391478576222964,1.1717212153998737,1.1369240911628555,1.1466731826946976,1.1742209650854982,1.1983189197226478,1.131658048168285,1.148030714369037,1.1710051808068163,1.2089175312054656
