Attacker,Fast Move,Charged Move,Level,"Dialga, Tier 5","Dialga, Tier 5","Arceus, Tier 5","Arceus, Tier 5","Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Arceus (Ice), Tier 5","Arceus (Ice), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Arceus (Steel), Tier 5","Arceus (Steel), Tier 5","Glastrier, Tier 5","Glastrier, Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Melmetal, Tier 5","Melmetal, Tier 5","Meloetta (Pirouette), Tier 5","Meloetta (Pirouette), Tier 5","Meltan, Tier 5","Meltan, Tier 5","Zamazenta (Crowned Shield), Tier 5","Zamazenta (Crowned Shield), Tier 5","Cobalion, Tier 5","Cobalion, Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Regice, Tier 5","Regice, Tier 5","Regigigas, Tier 5","Regigigas, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Registeel, Tier 5","Registeel, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Stakataka, Ultra Beast Tier","Stakataka, Ultra Beast Tier"
Zamazenta (Hero),Snarl or Metal Claw or Quick Attack,Close Combat,30,1.6956218393478883,1.7447280708591661,1.773285744023777,1.7446030576385578,1.7432977810458623,1.7265097630065112,1.5106367651670394,1.4808271284531587,1.4746932764199705,1.4518059338493292,1.7648714776762484,1.7834599396715858,1.514632581392151,1.5169636304336034,1.521783636758869,1.5039057794839537,1.4035691592134947,1.3612863372852766,1.568971889610323,1.5519212353655782,1.7351915780031302,1.759656917461379,1.7340546786683866,1.7070956700744466,1.7335741429876204,1.7512819393499175,1.8520955750111225,,1.9361996425738301,,1.7173626203533556,1.6964115204347123,1.5410863898531166,1.4954750973748465,1.8823722004906522,1.6724773514175189,1.5378757128938083,1.5064546284452496,1.799252105243213,1.7837296127934203,1.613481356986714,1.5796199750291022,1.9676827156497159,
Poliwrath,Bubble or Rock Smash,Dynamic Punch,35,1.5916125887111916,1.663894542663517,1.6111199407929697,1.6726846745798454,1.6071253834608423,1.6479173380384253,1.648477688483972,1.6918064182050936,1.5667434688848771,1.6067167785211032,1.613969716603162,1.660161057146879,1.5978476794361425,1.641587878991369,1.6339903887680636,1.668240141671989,1.5253308992981602,1.5232358963674022,1.6139807750783246,1.694746409084897,1.6774692592228093,1.713162291436235,1.569755900164181,1.5937869550199837,1.6606200006532175,1.7381996205207961,1.5399872678740745,1.5527128970925852,1.6641801652685253,1.711385757069794,1.6220900415387514,1.671989104776429,1.6451447533637018,1.6639026633985898,1.7648050764865846,1.6794146609146166,1.6230161026095873,1.6261652792271177,1.6990997418183436,1.7207514948009432,1.5924895872482325,1.6392873581662861,1.633802445654148,1.6726200404137606
Buzzwole,Counter,Superpower,45,1.1317273162194406,1.1480413455833847,1.1905856950948532,1.1708505980370278,1.1917897984727441,1.1651895004281942,1.2222458452699374,1.1935736492022009,1.1979478559911731,1.166301948743299,1.1923518695567468,1.17496942189,1.1781495362889745,1.1819578754697833,1.2129079299631078,1.1954031075064115,1.079570779281471,1.0728913628081784,1.2158873436867788,1.1958322615944255,1.2097255542512977,1.2133932318778016,1.142209807242777,1.1448663914933859,1.195186252075789,1.229232307714911,1.0868290942851841,1.0949677997633922,1.1896511307849016,1.1926666284888356,1.1472094090396656,1.1336457350553912,1.1702370654948322,1.1816187237531908,1.110412064021405,1.0950420101914593,1.2091300436407473,1.2052083634675084,1.2169717367700439,1.2253850893914855,1.2028604768681372,1.2268383380699215,1.2089002306474517,1.2274922962782366
Mienshao,Low Kick,Brick Break,45,1.446048094559112,1.3309758411751986,1.5545021923475735,1.3741263743310626,1.5251266333250841,1.369666578238475,1.5700823394171124,1.4020359618731897,1.5399362792014764,1.3682603386262109,1.5430483365771734,1.3743491080895032,1.4493338535977185,1.4305426667418404,1.6606767648222522,1.4082568199165388,1.4192604884444913,1.2632299944841923,1.602258229124519,1.3739991951586523,1.4266220166447672,1.413237957850373,1.4032662871791914,1.3304697432154808,1.4075361639918398,1.426676282422921,1.3333210499417143,1.275700050369006,1.4390994400595576,1.449460734894729,1.5026773600096834,1.3885128523824364,1.4250780031829897,1.4172391833363835,1.4324202391020027,1.2913492289653263,1.4255849658476036,1.424555010812515,1.4150171269835257,1.3992916892527563,1.4990931369444012,1.4089863138647605,1.4623988142282915,1.4466587604455363
Chesnaught,Vine Whip or Low Kick,Superpower,50,1.3885247389186832,1.3879591009882988,1.3977105437639168,1.370989161610113,1.3987698985687098,1.3700951285561933,1.4293449129144589,1.404158577656297,1.3331537527656132,1.303540651904578,1.40059769991499,1.3776832043026959,1.4927301915173938,1.465545374646155,1.59939248131737,1.464243749480603,1.417531532689674,1.3306444676365752,1.442959248866804,1.424059814500908,1.448511459785594,1.4752611390157742,1.3666364028709184,1.3933216780380207,1.4571356666163893,1.5229836903850507,1.3558088868989322,1.3926273237443356,1.4324071060935026,1.4437078089188535,1.4029204074669375,1.3756183997816989,1.4909118031018398,1.4808347282054497,1.3457823388243593,1.3453348224458859,1.3735627303307218,1.385124374489086,1.467830021896836,1.4714678376833181,1.3830876923315136,1.3965570565307908,1.4852110743069071,1.4945429313458525
Mienshao,Low Kick,Brick Break,40,1.494868234981097,1.3736662187275288,1.5937096365364032,1.4146500208434005,1.589268126147267,1.408593128239276,1.6383887105454968,1.4459788503844841,1.6072929062934402,1.4129551398287887,1.5853386701864867,1.4106293392514822,1.502970058176517,1.4723354653369323,1.6838188023427172,1.4463428173054078,1.4588070391601646,1.29845964160395,1.6902841519466278,1.4641226350769287,1.5729208273014932,1.5138711771808717,1.5185728533053702,1.4272432937862407,1.4749755862600666,1.5010313543344522,1.458000953986415,1.390534745028741,1.4707635271299027,1.4789422686051543,1.5525552827262648,1.4237676499627379,1.477238258713109,1.4446349210721936,1.471734559856294,1.3353053639816759,1.4705720955103982,1.456221020864828,1.440219413217517,1.431924441910775,1.6353072166457638,1.5118990691513696,1.507753774763116,1.4820475229012655
Falinks,Counter,Superpower,30,1.838280394272396,1.6658745684459013,2.0033170171515233,1.68561494096332,1.9289026654868329,1.6765239174519864,1.9916160226091981,1.7203283055529175,1.9483865088301806,1.6782760265498882,1.9218103688551669,1.6868713528576074,1.8270173159345586,1.7203713977376263,2.056456269650689,1.7748073090677532,1.8507194097537158,1.576759570092005,2.0912507790952097,1.762942375995131,1.7609447215704133,1.7280554146429608,1.7772068864345827,1.6457566564098565,1.7389904576338244,1.7098448016517738,1.698653079957495,1.5999051551761572,1.7656496941576543,1.734546898986223,1.9366326850802538,1.708429669440275,1.778577233371837,1.7253091516749968,1.8225240089475656,1.6380534395599693,1.762971886268628,1.7341642362988545,1.767163231109654,1.7018195463450079,1.8585176520599584,1.757611464654356,1.7652477986771478,1.7167474511317222
Emboar,Low Kick or Ember,Focus Blast,35,1.6528210398165737,1.3433306980524906,1.6607494865852162,1.4071927301929277,1.652362679623474,1.3958377918352887,1.6624951256606837,1.4301547506315537,1.624665292435967,1.3968093368262562,1.6376127081280478,1.4048318394930557,1.4591839101284354,1.4254131264412275,1.4596287130067458,1.3917360940016146,1.344076013191982,1.26742941934557,1.5307152643115582,1.428102690239554,1.530867656145816,1.4511853675029922,1.6059417936894536,1.396470713827471,1.407677060259103,1.4440343220347494,1.3150655869210424,1.2710461359929077,1.5047425908351233,1.4499343765863204,1.482569455837715,1.3921328371233033,1.5235185842684213,1.4051117819717802,1.7007282902075354,1.3310861145625357,1.603336684502122,1.504040675991684,1.4521894776558357,1.4053710269764408,1.888555643296215,1.5160324706127444,1.441662704137526,1.4258566934181112
Bewear,Low Kick,Superpower,30,1.5890047058028338,1.4735562558226716,1.5586551306427243,1.5119669837681908,1.558434046515603,1.506719978777234,1.59113393344268,1.543046428738991,1.551319425952689,1.5055319379720213,1.5700638884705682,1.5195736759898386,1.5015439566960442,1.4812813991476188,1.521375284367116,1.4909195189791618,1.562857643823729,1.3664899724395922,1.5206826899564683,1.54100005320055,1.5674449805141122,1.5196310899305587,1.6437849161223295,1.4797575071056523,1.56529527280868,1.590935962382282,1.579374566619933,1.4683214880256812,1.4915988515926912,1.5240101773412111,1.677232533922892,1.5007875766699745,1.5669552536552291,1.514099552473543,1.61116097837641,1.4226633600511185,1.5517208689140276,1.5346624530018709,1.6166733532475366,1.6110525474637403,1.6708678583443481,1.5629360370594025,1.5080909866657193,1.534366389572184
Terrakion,Zen Headbutt or Smack Down,Sacred Sword,50,1.151080709333993,1.224041897644442,1.1062480969359936,1.1528616820526103,1.1098735269139215,1.143265065582264,0.9426440946625477,0.9575399026875043,1.1103724781629347,1.1451530361622422,1.206377839428636,1.2722159199877665,0.9538140014713221,0.973603731075844,0.9328171739543387,0.936950966175412,0.8712822767647868,0.8648639528975482,0.949222759488123,0.9590672406143737,1.2607899545978465,1.3230572135353225,0.957025195133788,0.9863301985886317,1.2808075290399044,1.3799036895267778,1.069149388620808,1.1150666235540923,1.177026438277677,1.1940813310308667,1.0923256112615607,1.139037464166553,0.9912090819399387,0.9935677871215364,1.0545079184296555,1.0392106475844198,1.180855936325606,1.2003020972789324,1.2764629607356284,1.3431365199353476,1.0314605159995327,1.0588073933000859,1.3087177793905966,1.393656185945279
Shadow Hitmonchan,Counter,Brick Break or Power-Up Punch or Close Combat,35,1.5606477457799857,1.3976445394890682,1.6975690815578983,1.4647326006659542,1.6867441392583784,1.454243039840758,1.7378269618530302,1.496320485312863,1.7014392080732572,1.4594196668505595,1.693075384338888,1.464933802116529,1.5191284012437825,1.4359688101436416,1.744665001249373,1.4952797724465041,1.5372675667711346,1.3075099548995515,1.7266501443980067,1.4233251344290045,1.6004389827465362,1.4684095601967464,1.5671294024138722,1.4054174719506514,1.4581982548945598,1.45564753567355,1.4857661761972296,1.357759354583743,1.4723156115276699,1.4508949800786586,1.6294425144419808,1.4268496848849808,1.5540078902162988,1.4468857779605857,1.5609982639808013,1.3942308090696531,1.537348805970906,1.4454296062192762,1.5160120819788545,1.4511770991058381,1.7116442364943902,1.5050755109251197,1.5284047140238008,1.4527876695242623
Chesnaught,Vine Whip or Low Kick,Superpower,35,1.5154150254766607,1.5135338471447253,1.587589864310087,1.5829894662787316,1.583616362895056,1.5723824958471393,1.6200236061596631,1.6054257306776274,1.507435604607422,1.482111632757665,1.5803054053932106,1.5776366809910278,1.6870014867515501,1.6722618215962186,1.8538653589159693,1.6754410338412875,1.7188504100318351,1.5276606009342613,1.6875334028682418,1.641484666283688,1.6645939262663867,1.6570510242392966,1.6112977280018121,1.5957106106329237,1.604942721386563,1.668749493307216,1.531321654596992,1.5264744720591181,1.6328640538964674,1.6561239299066688,1.5883601028916015,1.5704090063470064,1.6156612133431196,1.584228234829694,1.5868318040926965,1.4798615327884814,1.59335415809862,1.5802411693322425,1.6890229134160548,1.6695556128560296,1.601803422448753,1.580082401147479,1.6084500765730163,1.6051248620515108
Shadow Hitmonchan,Counter,Brick Break or Power-Up Punch or Close Combat,40,1.5525360524586937,1.361408646495145,1.5979863687549845,1.3601787769766849,1.57248411408305,1.3500149111296673,1.6160897771276181,1.3865082474344559,1.582880336572422,1.3555861944493468,1.5834256480506557,1.367482787290496,1.5009735549198995,1.4228520923352188,1.7081869125597244,1.453474315520319,1.478352395422449,1.2631863151661527,1.6949096103132928,1.39863464937177,1.4270940386251345,1.3793877243400854,1.455258392266609,1.3199779358501014,1.3777190046445034,1.3623108932685937,1.4329708809776274,1.3159618839967857,1.446972207932543,1.4140861223810794,1.5354172790915712,1.352724269824326,1.413012512013875,1.3185202628040174,1.5145103307183327,1.345277875860126,1.392375738094677,1.3266399800898225,1.3978691363354023,1.346159197742105,1.6385426792619089,1.444812035578603,1.4972943124453553,1.426473515908377
Chesnaught,Vine Whip or Low Kick,Superpower,45,1.4234739057382118,1.429935813622937,1.5144681026405031,1.4927571635922428,1.5193918128550854,1.4895209921999213,1.552050025727228,1.5225270358879248,1.4450134941038035,1.4088082201341543,1.5089287545114412,1.4961120154828722,1.5258029171616116,1.4999459486578235,1.6696388529867636,1.5107020992573885,1.5319943241727867,1.3705160256002205,1.5219039232233091,1.5166616557280155,1.485830928087866,1.5050035367076604,1.4313700871095518,1.4312151416330061,1.5300727914721504,1.594960648930367,1.4010437190758516,1.4302882379496025,1.470672425361449,1.4814280245957274,1.4988142329164555,1.4754644482861732,1.5255800472451722,1.5117351325046695,1.4305977642135135,1.3931746041245534,1.402000195940483,1.414986658451283,1.6005017407078497,1.6042019188152972,1.432504676764819,1.4221743824488655,1.5195634571122487,1.5333080511864579
Chesnaught,Vine Whip or Low Kick,Superpower,40,1.466228895532115,1.4792966359243283,1.5368526393881228,1.527596724705325,1.541008722343193,1.5190185895050574,1.5767700990585887,1.5546524189351125,1.4687849883151864,1.4325182340439058,1.5396451746449111,1.5256605280525426,1.553665801812845,1.5282172751388958,1.7032959363859412,1.5479293041473268,1.5633778624314703,1.4080368703126889,1.570893149379823,1.5684321358654194,1.6180124670961729,1.6190323388066832,1.4834606180336656,1.4748656570604233,1.559616825572218,1.6317762199444639,1.4461971826585776,1.4642773055890568,1.5859325452171524,1.5986144558574986,1.5312684122867652,1.5143577351532387,1.5572375875919364,1.5458698866025018,1.5117544750486949,1.4373470164730775,1.444048740269706,1.4375560868448782,1.6463723994417874,1.635943186854649,1.4826434243067903,1.4627986267413826,1.5586024960300704,1.5612331848158574
Virizion,Zen Headbutt or Quick Attack,Sacred Sword,30,1.566027996879859,1.6306342314190725,1.5083844964343247,1.5488938727537602,1.5145046567235398,1.5359861197412674,1.5534106768702456,1.5699394482937319,1.58608664766097,1.6136468487900204,1.5912022425183308,1.6285379372499968,1.6115817664347376,1.6458620592280437,1.6879045265563608,1.600333925965226,1.5538951031861785,1.475237242352833,1.5810667784040908,1.6277031614304798,1.747061156117352,1.7862916450496118,1.5001608284618724,1.52265940593453,1.7312328127429417,1.8326697749813678,1.590488479953718,1.6537435446516906,1.6627899153356362,1.7119232769490844,1.5155152973021533,1.5308081182975057,1.6213827045040288,1.647041623140258,1.5672929563472426,1.5053854344720659,1.7445414396227445,1.7780760046274162,1.8192644376599219,1.8417970069381173,1.5656148766868379,1.5860628044823748,1.7833488201619938,1.8479236481855383
Shadow Gallade,Low Kick or Confusion or Charm,Close Combat,40,1.4416579296069407,1.2470105483513476,1.3549432215781014,1.252578400885751,1.313553994313296,1.2400401220665136,1.3450509818690732,1.2696157543925481,1.3093980842862485,1.2430691962350762,1.3240025666000594,1.2621976381221682,1.2616221787892248,1.22969287678031,1.4207162505464772,1.2355635892065207,1.248897744128832,1.1004138874147982,1.4010098831003328,1.2656717106319593,1.3073424309731234,1.2713071943479053,1.218232913460104,1.1123776453219605,1.2656334344199751,1.283063454795499,1.2876337913405356,1.183823014645353,1.2361608684166698,1.2501985619921283,1.3644718096159532,1.2384687683332074,1.2458509545379879,1.1747006074232742,1.336290627383804,1.1755670144382844,1.2243871939026423,1.1791832100180761,1.2970534421200224,1.2523387929883993,1.2131112697011799,1.1724509344380214,1.2639709628017408,1.2577668934928679
Lucario,Counter,Aura Sphere,50,0.937075441897918,0.9394426039153358,0.9573895607474084,0.9618161299914681,0.9566133753278223,0.953879430831053,0.980192696416022,0.9751784011602759,0.9569282254153254,0.9529925081162444,0.9587152739820547,0.9554451506729417,0.9979739965494477,0.9905464493653916,0.9622954436888652,0.9697508367754332,0.9597304116630817,0.8857053014374946,0.9662248499280817,0.9442042759575977,0.9953314652203002,0.9937439801640138,1.0683490070568424,0.9782071658629542,0.9817896700945083,1.0006897469479785,0.9796303735755703,0.931727489335815,0.9779847763791879,0.9951440910099861,1.0795310621208676,0.9787379604468758,1.0446343935533682,1.0142512874023668,0.9765254848631189,0.9230657611070011,1.0331515565338993,1.0169912011688431,1.0196704929836211,1.0227445352647804,1.2537820775392827,1.0364948404269547,0.9576167344938631,0.9667607313227635
Terrakion,Zen Headbutt or Smack Down,Sacred Sword,45,1.183542622297836,1.2624286994390896,1.1286374052793648,1.179124455882004,1.128538166260431,1.1712880634404028,0.9785001192048718,1.0016383331923382,1.1268044779708921,1.1716538912407686,1.24500992361805,1.3133395969001196,0.9698165951594258,0.9928188861794212,0.9609100469864772,0.9753438766633603,0.9431914759500329,0.8971540957692854,0.9679933411458422,0.9813269120106831,1.329260280710181,1.387817799515578,0.9848290971272281,1.0153800577757512,1.3633610091090018,1.4356625681320125,1.091293823129669,1.1355096663191817,1.2116314984996406,1.2241387407013242,1.1567823220115738,1.1996406427730628,1.0029862694176381,1.0104801505655954,1.1305567000627472,1.0907841825678999,1.1992637171013096,1.2180811611128823,1.3247557819015814,1.3887762238914418,1.0484293530510524,1.0820395621224983,1.3955078240104237,1.4682734217764455
Terrakion,Zen Headbutt or Smack Down,Sacred Sword,35,1.3473793899940205,1.3608656692451007,1.2461615410809421,1.2867032483061727,1.2504592182829144,1.2895217043732787,1.0668483810959049,1.089274050749011,1.2413505039562107,1.2857451052477862,1.3605704524613194,1.4142585506911776,1.0713423374265176,1.0915726776578825,1.0556713845340735,1.064123511760611,1.0584886769648423,0.9783146159175095,1.0438606809377549,1.0617057438535062,1.4368521941992463,1.494685949809405,1.0654319059491704,1.0948371619210855,1.4522034516731617,1.528829352846427,1.2193930896904854,1.263893332447225,1.3235165749313018,1.3476298615846205,1.431890934733676,1.3094003831231793,1.0908899916637371,1.0979610884530377,1.2493763267012277,1.1546812901693253,1.290547899693981,1.3185143774684551,1.4953225787849482,1.5424059663523562,1.1991960891126041,1.1861756380317754,1.5584418016819421,1.5859890351638468
Sirfetch'd,Counter,Close Combat,50,1.2269404623833684,1.1541450779732523,1.2702263484485001,1.184519213120158,1.2467142101730404,1.1819976818757223,1.273786081885806,1.2129955563135966,1.2422387898471705,1.184056108443606,1.2593906035865836,1.189034928088782,1.2246188919436036,1.1780134860524731,1.2611016363602203,1.2003794438858764,1.125008448635865,1.0827262994933509,1.204680452604899,1.1703960536905809,1.2345280851925922,1.1706848075530891,1.1437350853562072,1.1245753572543575,1.200890278379526,1.2009199796931802,1.1669250439042498,1.0875946761934665,1.189597072531689,1.1929082863815692,1.2090601947078894,1.167930388323431,1.2168633554798436,1.1596655149660753,1.253079650181313,1.13316385931201,1.2032307662943003,1.162092435593886,1.213108526914655,1.1815670324926641,1.2649798501464613,1.2466349392689187,1.2145556948607679,1.2224047317845428
Gallade,Low Kick or Confusion,Close Combat,35,1.6402937371154012,1.4570116638038024,1.5956547530177445,1.489055386364581,1.5603640808245545,1.4798187874892508,1.596973766236402,1.5148036341490307,1.5611148872572185,1.4826375271671361,1.5761267953680578,1.4902754261357098,1.6320196269448173,1.5514266982771596,1.69793268639738,1.5091864901592882,1.442196529398717,1.3449417331353066,1.6371593151478563,1.56287109213896,1.6380384260002983,1.5652036827855567,1.3625865450269459,1.3594531434724733,1.5433482216893366,1.5509220566711637,1.5321839770895576,1.4114240370211484,1.5200402986776826,1.5326332951587431,1.6207822815229949,1.547784536652497,1.6544845840682574,1.5581223538886415,1.560093379510554,1.369370516952543,1.6157194072636363,1.558437385086275,1.541466494875086,1.5033550434394345,1.450739625605446,1.46250477529711,1.5285438936551363,1.5291033973877177
Pheromosa,Low Kick or Bug Bite,Focus Blast or Close Combat,35,1.4759748927475862,1.2309472027636654,1.7012604237070001,1.2292692002323902,1.6353869593936559,1.208647075371087,1.7646446677742702,1.2462960595770431,1.7273879851575973,1.223817104326693,1.668549414846726,1.2308175884565002,1.6504103777800656,1.2093730655660249,1.7368717780824214,1.3135120692165765,1.5778242793455926,1.1482288709320658,1.6343858704220073,1.2577539801576592,1.4916830902504643,1.1847425578751267,1.3502849272167263,1.2025469941732658,1.2388094487383337,1.202886608311865,1.3296325533450657,1.156752549584786,1.3433327652031302,1.2939085974109792,1.502866464870464,1.097758461585828,1.4607963394882568,1.144353804824775,1.4440898236865574,1.1399517818480802,1.4426586290309835,1.1875099349578997,1.2658895404300612,1.1299187147924743,1.4281948743502149,1.3047130247020455,1.582385138457092,1.3079886202083335
