Attacker,Fast Move,Charged Move,Level,"Marshadow, Tier 5","Marshadow, Tier 5","Mega Gallade, Mega Tier","Mega Gallade, Mega Tier","Mega Medicham, Mega Tier","Mega Medicham, Mega Tier","Mega Mewtwo X, Mega Legendary Tier","Mega Mewtwo X, Mega Legendary Tier"
(Boss weights),,,,50.0,0.0,11.666666666666666,0.0,11.666666666666666,0.0,11.666666666666666,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Braviary,Air Slash,Brave Bird,35,1.6631694014563563,2.404853,1.3779797067353228,1.7564222,1.571170159574728,1.3805454,1.6371436827855668,4.710368
Tapu Koko,Quick Attack or Volt Switch,Dazzling Gleam,45,1.7606411158703599,,1.4957031898414987,,1.6273556754848006,,1.4412782401120483,
Moltres,Wing Attack,Sky Attack,30,1.4517517271428875,2.1939962,1.2021041239293007,1.6080002,1.3385511547522269,1.2186621,1.114889295562783,3.9523325
Zacian (Hero),Snarl or Quick Attack,Play Rough,40,1.6504444246970518,2.257706,1.3358546272532974,1.674933,1.519017102761757,1.3066608,1.2679899759199984,4.138834
Staraptor,Gust or Wing Attack,Brave Bird,50,1.5040388234380178,2.047867,1.44639940342815,1.5381829,1.4653475442704993,1.1717513,1.5971737616650628,3.9748285
Staraptor,Wing Attack or Gust,Brave Bird,35,1.5691613028446794,2.3002288,1.4083655356073839,1.7143734,1.5301362158659724,1.3134176,1.7741189770345267,4.631433
Togekiss,Charm,Dazzling Gleam,30,1.6940737885292676,2.6188612,1.3550173220125872,1.8593951,1.5417742393920808,1.4329545,1.4067433214495464,5.0738606
Shadow Dusknoir,Hex,Shadow Ball,45,1.6133027736736376,2.1703684,1.606188105915747,1.8185799,1.6273898719214737,1.3071355,1.5707479892357494,4.6075053
Shadow Dusknoir,Hex,Shadow Ball,40,1.630799589270848,2.2627783,1.5759495860652784,1.89276,1.6153280530310337,1.3354002,1.6084311954977872,4.9101133
Rayquaza,Air Slash,Hurricane or Aerial Ace,35,1.5262762123907925,2.2852054,1.2699128566634776,1.643408,1.479457275736045,1.2967998,1.4128989183746576,4.3707523
Braviary,Air Slash,Brave Bird,30,1.6164898515894517,2.4646404,1.3984387310402784,1.8757252,1.590826285798748,1.4216342,1.8086796614379137,5.172622
Shadow Ho-Oh,Extrasensory or Hidden Power Flying,Brave Bird,50,1.31500801423061,1.6874895,1.1644847881492864,1.2636532,1.2224216299287378,0.9772946,1.090245688457945,3.1865373
Shadow Ho-Oh,Extrasensory or Hidden Power Flying,Brave Bird,35,1.3577537158712831,1.9307535,1.1167423295599284,1.4294312,1.2391170080336544,1.0875665,1.05055302617254,3.5781145
Shadow Mismagius,Hex,Shadow Ball,40,1.430897152018291,1.9414573,1.3973572805166374,1.6522646,1.4351156911408045,1.1606318,1.620963280711773,4.367092
